Num GPUs Available:  1

------------ Current Test : ------------
NN name : LeNet-5
FDA name : linear
Num Clients : 15
Batch size : 64
Num Epochs : 350
Number of steps until we check RTC : 1
Theta : 0.5
-----------------------------------------

EpochMetrics(epoch=1, total_rounds=6, total_fda_steps=63, accuracy=0.8906000256538391)
EpochMetrics(epoch=2, total_rounds=8, total_fda_steps=125, accuracy=0.9136999845504761)
EpochMetrics(epoch=3, total_rounds=11, total_fda_steps=188, accuracy=0.9282000064849854)
EpochMetrics(epoch=4, total_rounds=14, total_fda_steps=250, accuracy=0.9365000128746033)
EpochMetrics(epoch=5, total_rounds=17, total_fda_steps=313, accuracy=0.9420999884605408)
EpochMetrics(epoch=6, total_rounds=20, total_fda_steps=375, accuracy=0.9498000144958496)
EpochMetrics(epoch=7, total_rounds=23, total_fda_steps=438, accuracy=0.9555000066757202)
EpochMetrics(epoch=8, total_rounds=25, total_fda_steps=500, accuracy=0.9587000012397766)
EpochMetrics(epoch=9, total_rounds=28, total_fda_steps=563, accuracy=0.9613999724388123)
EpochMetrics(epoch=10, total_rounds=31, total_fda_steps=625, accuracy=0.9643999934196472)
EpochMetrics(epoch=11, total_rounds=34, total_fda_steps=688, accuracy=0.9670000076293945)
EpochMetrics(epoch=12, total_rounds=37, total_fda_steps=750, accuracy=0.9681000113487244)
EpochMetrics(epoch=13, total_rounds=40, total_fda_steps=813, accuracy=0.9696000218391418)
EpochMetrics(epoch=14, total_rounds=43, total_fda_steps=875, accuracy=0.972000002861023)
EpochMetrics(epoch=15, total_rounds=45, total_fda_steps=938, accuracy=0.9725000262260437)
EpochMetrics(epoch=16, total_rounds=48, total_fda_steps=1000, accuracy=0.973800003528595)
EpochMetrics(epoch=17, total_rounds=51, total_fda_steps=1063, accuracy=0.9753000140190125)
EpochMetrics(epoch=18, total_rounds=54, total_fda_steps=1125, accuracy=0.9769999980926514)
EpochMetrics(epoch=19, total_rounds=57, total_fda_steps=1188, accuracy=0.9771000146865845)
EpochMetrics(epoch=20, total_rounds=59, total_fda_steps=1250, accuracy=0.9783999919891357)
EpochMetrics(epoch=21, total_rounds=62, total_fda_steps=1313, accuracy=0.9776999950408936)
EpochMetrics(epoch=22, total_rounds=65, total_fda_steps=1375, accuracy=0.9793999791145325)
EpochMetrics(epoch=23, total_rounds=68, total_fda_steps=1438, accuracy=0.9801999926567078)
EpochMetrics(epoch=24, total_rounds=71, total_fda_steps=1500, accuracy=0.9803000092506409)
EpochMetrics(epoch=25, total_rounds=73, total_fda_steps=1563, accuracy=0.9807000160217285)
EpochMetrics(epoch=26, total_rounds=76, total_fda_steps=1625, accuracy=0.9811000227928162)
EpochMetrics(epoch=27, total_rounds=79, total_fda_steps=1688, accuracy=0.9818999767303467)
EpochMetrics(epoch=28, total_rounds=82, total_fda_steps=1750, accuracy=0.9821000099182129)
EpochMetrics(epoch=29, total_rounds=85, total_fda_steps=1813, accuracy=0.9819999933242798)
EpochMetrics(epoch=30, total_rounds=87, total_fda_steps=1875, accuracy=0.9829999804496765)
EpochMetrics(epoch=31, total_rounds=90, total_fda_steps=1938, accuracy=0.9833999872207642)
EpochMetrics(epoch=32, total_rounds=93, total_fda_steps=2000, accuracy=0.9840999841690063)
EpochMetrics(epoch=33, total_rounds=95, total_fda_steps=2063, accuracy=0.983299970626831)
EpochMetrics(epoch=34, total_rounds=98, total_fda_steps=2125, accuracy=0.9837999939918518)
EpochMetrics(epoch=35, total_rounds=101, total_fda_steps=2188, accuracy=0.984000027179718)
EpochMetrics(epoch=36, total_rounds=103, total_fda_steps=2250, accuracy=0.9839000105857849)
EpochMetrics(epoch=37, total_rounds=106, total_fda_steps=2313, accuracy=0.984000027179718)
EpochMetrics(epoch=38, total_rounds=109, total_fda_steps=2375, accuracy=0.9846000075340271)
EpochMetrics(epoch=39, total_rounds=111, total_fda_steps=2438, accuracy=0.9847000241279602)
EpochMetrics(epoch=40, total_rounds=114, total_fda_steps=2500, accuracy=0.9850000143051147)
EpochMetrics(epoch=41, total_rounds=117, total_fda_steps=2563, accuracy=0.9850000143051147)
EpochMetrics(epoch=42, total_rounds=119, total_fda_steps=2625, accuracy=0.9847999811172485)
EpochMetrics(epoch=43, total_rounds=122, total_fda_steps=2688, accuracy=0.9850000143051147)
EpochMetrics(epoch=44, total_rounds=124, total_fda_steps=2750, accuracy=0.9853000044822693)
EpochMetrics(epoch=45, total_rounds=127, total_fda_steps=2813, accuracy=0.9860000014305115)
EpochMetrics(epoch=46, total_rounds=130, total_fda_steps=2875, accuracy=0.9861999750137329)
EpochMetrics(epoch=47, total_rounds=132, total_fda_steps=2938, accuracy=0.9855999946594238)
EpochMetrics(epoch=48, total_rounds=135, total_fda_steps=3000, accuracy=0.9861999750137329)
EpochMetrics(epoch=49, total_rounds=137, total_fda_steps=3063, accuracy=0.9860000014305115)
EpochMetrics(epoch=50, total_rounds=140, total_fda_steps=3125, accuracy=0.9858999848365784)
EpochMetrics(epoch=51, total_rounds=142, total_fda_steps=3188, accuracy=0.9860000014305115)
EpochMetrics(epoch=52, total_rounds=145, total_fda_steps=3250, accuracy=0.9861999750137329)
EpochMetrics(epoch=53, total_rounds=147, total_fda_steps=3313, accuracy=0.9861000180244446)
EpochMetrics(epoch=54, total_rounds=150, total_fda_steps=3375, accuracy=0.9861999750137329)
EpochMetrics(epoch=55, total_rounds=152, total_fda_steps=3438, accuracy=0.9864000082015991)
EpochMetrics(epoch=56, total_rounds=155, total_fda_steps=3500, accuracy=0.9865000247955322)
EpochMetrics(epoch=57, total_rounds=157, total_fda_steps=3563, accuracy=0.9865999817848206)
EpochMetrics(epoch=58, total_rounds=160, total_fda_steps=3625, accuracy=0.9866999983787537)
EpochMetrics(epoch=59, total_rounds=162, total_fda_steps=3688, accuracy=0.9869999885559082)
EpochMetrics(epoch=60, total_rounds=165, total_fda_steps=3750, accuracy=0.9873999953269958)
EpochMetrics(epoch=61, total_rounds=167, total_fda_steps=3813, accuracy=0.9872999787330627)
EpochMetrics(epoch=62, total_rounds=169, total_fda_steps=3875, accuracy=0.987500011920929)
EpochMetrics(epoch=63, total_rounds=172, total_fda_steps=3938, accuracy=0.9879000186920166)
EpochMetrics(epoch=64, total_rounds=175, total_fda_steps=4000, accuracy=0.9878000020980835)
EpochMetrics(epoch=65, total_rounds=177, total_fda_steps=4063, accuracy=0.9879999756813049)
EpochMetrics(epoch=66, total_rounds=180, total_fda_steps=4125, accuracy=0.9876999855041504)
EpochMetrics(epoch=67, total_rounds=182, total_fda_steps=4188, accuracy=0.9876000285148621)
EpochMetrics(epoch=68, total_rounds=184, total_fda_steps=4250, accuracy=0.9883999824523926)
EpochMetrics(epoch=69, total_rounds=187, total_fda_steps=4313, accuracy=0.9879000186920166)
EpochMetrics(epoch=70, total_rounds=189, total_fda_steps=4375, accuracy=0.9879999756813049)
EpochMetrics(epoch=71, total_rounds=192, total_fda_steps=4438, accuracy=0.9886999726295471)
EpochMetrics(epoch=72, total_rounds=194, total_fda_steps=4500, accuracy=0.9879000186920166)
EpochMetrics(epoch=73, total_rounds=196, total_fda_steps=4563, accuracy=0.9883000254631042)
EpochMetrics(epoch=74, total_rounds=199, total_fda_steps=4625, accuracy=0.9884999990463257)
EpochMetrics(epoch=75, total_rounds=201, total_fda_steps=4688, accuracy=0.9878000020980835)
EpochMetrics(epoch=76, total_rounds=203, total_fda_steps=4750, accuracy=0.9876000285148621)
EpochMetrics(epoch=77, total_rounds=206, total_fda_steps=4813, accuracy=0.9878000020980835)
EpochMetrics(epoch=78, total_rounds=208, total_fda_steps=4875, accuracy=0.9886999726295471)
EpochMetrics(epoch=79, total_rounds=211, total_fda_steps=4938, accuracy=0.9879999756813049)
EpochMetrics(epoch=80, total_rounds=213, total_fda_steps=5000, accuracy=0.9876999855041504)
EpochMetrics(epoch=81, total_rounds=215, total_fda_steps=5063, accuracy=0.9879000186920166)
EpochMetrics(epoch=82, total_rounds=218, total_fda_steps=5125, accuracy=0.9879999756813049)
EpochMetrics(epoch=83, total_rounds=220, total_fda_steps=5188, accuracy=0.9882000088691711)
EpochMetrics(epoch=84, total_rounds=222, total_fda_steps=5250, accuracy=0.9884999990463257)
EpochMetrics(epoch=85, total_rounds=225, total_fda_steps=5313, accuracy=0.9883999824523926)
EpochMetrics(epoch=86, total_rounds=227, total_fda_steps=5375, accuracy=0.9883999824523926)
EpochMetrics(epoch=87, total_rounds=229, total_fda_steps=5438, accuracy=0.9884999990463257)
EpochMetrics(epoch=88, total_rounds=231, total_fda_steps=5500, accuracy=0.9884999990463257)
EpochMetrics(epoch=89, total_rounds=234, total_fda_steps=5563, accuracy=0.988099992275238)
EpochMetrics(epoch=90, total_rounds=236, total_fda_steps=5625, accuracy=0.9883000254631042)
EpochMetrics(epoch=91, total_rounds=238, total_fda_steps=5688, accuracy=0.9883000254631042)
EpochMetrics(epoch=92, total_rounds=240, total_fda_steps=5750, accuracy=0.9887999892234802)
