Num GPUs Available:  1

------------ Current Test : ------------
NN name : LeNet-5
FDA name : sketch
Num Clients : 25
Batch size : 64
Num Epochs : 350
Number of steps until we check RTC : 1
Theta : 0.5
-----------------------------------------

retracing `sketch_for_vector`
EpochMetrics(epoch=191, total_rounds=306, total_fda_steps=7163, accuracy=0.9861000180244446)
EpochMetrics(epoch=192, total_rounds=307, total_fda_steps=7200, accuracy=0.98580002784729)
EpochMetrics(epoch=193, total_rounds=308, total_fda_steps=7238, accuracy=0.9869999885559082)
EpochMetrics(epoch=194, total_rounds=310, total_fda_steps=7275, accuracy=0.9861000180244446)
EpochMetrics(epoch=195, total_rounds=312, total_fda_steps=7313, accuracy=0.9861999750137329)
EpochMetrics(epoch=196, total_rounds=313, total_fda_steps=7350, accuracy=0.9858999848365784)
EpochMetrics(epoch=197, total_rounds=314, total_fda_steps=7388, accuracy=0.9865999817848206)
EpochMetrics(epoch=198, total_rounds=316, total_fda_steps=7425, accuracy=0.9865000247955322)
EpochMetrics(epoch=199, total_rounds=317, total_fda_steps=7463, accuracy=0.9864000082015991)
EpochMetrics(epoch=200, total_rounds=318, total_fda_steps=7500, accuracy=0.9865000247955322)
EpochMetrics(epoch=201, total_rounds=319, total_fda_steps=7538, accuracy=0.9861000180244446)
EpochMetrics(epoch=202, total_rounds=321, total_fda_steps=7575, accuracy=0.9865000247955322)
EpochMetrics(epoch=203, total_rounds=322, total_fda_steps=7613, accuracy=0.9869999885559082)
EpochMetrics(epoch=204, total_rounds=323, total_fda_steps=7650, accuracy=0.9869999885559082)
EpochMetrics(epoch=205, total_rounds=324, total_fda_steps=7688, accuracy=0.9868999719619751)
EpochMetrics(epoch=206, total_rounds=326, total_fda_steps=7725, accuracy=0.9868000149726868)
EpochMetrics(epoch=207, total_rounds=327, total_fda_steps=7763, accuracy=0.9864000082015991)
EpochMetrics(epoch=208, total_rounds=328, total_fda_steps=7800, accuracy=0.9865000247955322)
EpochMetrics(epoch=209, total_rounds=330, total_fda_steps=7838, accuracy=0.9869999885559082)
EpochMetrics(epoch=210, total_rounds=331, total_fda_steps=7875, accuracy=0.9865999817848206)
EpochMetrics(epoch=211, total_rounds=332, total_fda_steps=7913, accuracy=0.9866999983787537)
EpochMetrics(epoch=212, total_rounds=333, total_fda_steps=7950, accuracy=0.986299991607666)
EpochMetrics(epoch=213, total_rounds=335, total_fda_steps=7988, accuracy=0.9861999750137329)
EpochMetrics(epoch=214, total_rounds=337, total_fda_steps=8025, accuracy=0.9865000247955322)
EpochMetrics(epoch=215, total_rounds=338, total_fda_steps=8063, accuracy=0.9866999983787537)
EpochMetrics(epoch=216, total_rounds=339, total_fda_steps=8100, accuracy=0.9866999983787537)
EpochMetrics(epoch=217, total_rounds=341, total_fda_steps=8138, accuracy=0.9868999719619751)
EpochMetrics(epoch=218, total_rounds=343, total_fda_steps=8175, accuracy=0.9871000051498413)
EpochMetrics(epoch=219, total_rounds=344, total_fda_steps=8213, accuracy=0.9871000051498413)
EpochMetrics(epoch=220, total_rounds=345, total_fda_steps=8250, accuracy=0.9861000180244446)
EpochMetrics(epoch=221, total_rounds=347, total_fda_steps=8288, accuracy=0.9865999817848206)
EpochMetrics(epoch=222, total_rounds=348, total_fda_steps=8325, accuracy=0.9861999750137329)
EpochMetrics(epoch=223, total_rounds=350, total_fda_steps=8363, accuracy=0.9861000180244446)
EpochMetrics(epoch=224, total_rounds=351, total_fda_steps=8400, accuracy=0.9861999750137329)
EpochMetrics(epoch=225, total_rounds=353, total_fda_steps=8438, accuracy=0.9861000180244446)
EpochMetrics(epoch=226, total_rounds=354, total_fda_steps=8475, accuracy=0.9865000247955322)
EpochMetrics(epoch=227, total_rounds=356, total_fda_steps=8513, accuracy=0.9864000082015991)
EpochMetrics(epoch=228, total_rounds=357, total_fda_steps=8550, accuracy=0.9866999983787537)
EpochMetrics(epoch=229, total_rounds=358, total_fda_steps=8588, accuracy=0.9871000051498413)
EpochMetrics(epoch=230, total_rounds=360, total_fda_steps=8625, accuracy=0.9868000149726868)
EpochMetrics(epoch=231, total_rounds=361, total_fda_steps=8663, accuracy=0.9861000180244446)
EpochMetrics(epoch=232, total_rounds=362, total_fda_steps=8700, accuracy=0.9861999750137329)
EpochMetrics(epoch=233, total_rounds=363, total_fda_steps=8738, accuracy=0.9864000082015991)
EpochMetrics(epoch=234, total_rounds=365, total_fda_steps=8775, accuracy=0.9861000180244446)
EpochMetrics(epoch=235, total_rounds=366, total_fda_steps=8813, accuracy=0.9866999983787537)
EpochMetrics(epoch=236, total_rounds=368, total_fda_steps=8850, accuracy=0.9864000082015991)
EpochMetrics(epoch=237, total_rounds=369, total_fda_steps=8888, accuracy=0.9865999817848206)
EpochMetrics(epoch=238, total_rounds=371, total_fda_steps=8925, accuracy=0.9865999817848206)
EpochMetrics(epoch=239, total_rounds=372, total_fda_steps=8963, accuracy=0.9869999885559082)
EpochMetrics(epoch=240, total_rounds=373, total_fda_steps=9000, accuracy=0.9866999983787537)
EpochMetrics(epoch=241, total_rounds=374, total_fda_steps=9038, accuracy=0.9871000051498413)
EpochMetrics(epoch=242, total_rounds=375, total_fda_steps=9075, accuracy=0.9864000082015991)
EpochMetrics(epoch=243, total_rounds=377, total_fda_steps=9113, accuracy=0.9864000082015991)
EpochMetrics(epoch=244, total_rounds=378, total_fda_steps=9150, accuracy=0.9868000149726868)
EpochMetrics(epoch=245, total_rounds=379, total_fda_steps=9188, accuracy=0.9861000180244446)
EpochMetrics(epoch=246, total_rounds=380, total_fda_steps=9225, accuracy=0.9857000112533569)
EpochMetrics(epoch=247, total_rounds=382, total_fda_steps=9263, accuracy=0.986299991607666)
EpochMetrics(epoch=248, total_rounds=383, total_fda_steps=9300, accuracy=0.9861000180244446)
EpochMetrics(epoch=249, total_rounds=384, total_fda_steps=9338, accuracy=0.9861999750137329)
EpochMetrics(epoch=250, total_rounds=385, total_fda_steps=9375, accuracy=0.9868000149726868)
