Num GPUs Available:  1

------------ Current Test : ------------
NN name : LeNet-5
FDA name : naive
Num Clients : 60
Batch size : 32
Num Epochs : 350
Number of steps until we check RTC : 1
Theta : 0.5
-----------------------------------------

EpochMetrics(epoch=66, total_rounds=117, total_fda_steps=2063, accuracy=0.9797999858856201)
EpochMetrics(epoch=67, total_rounds=118, total_fda_steps=2094, accuracy=0.9799000024795532)
EpochMetrics(epoch=68, total_rounds=120, total_fda_steps=2125, accuracy=0.98089998960495)
EpochMetrics(epoch=69, total_rounds=121, total_fda_steps=2157, accuracy=0.9803000092506409)
EpochMetrics(epoch=70, total_rounds=123, total_fda_steps=2188, accuracy=0.9807000160217285)
EpochMetrics(epoch=71, total_rounds=124, total_fda_steps=2219, accuracy=0.9810000061988831)
EpochMetrics(epoch=72, total_rounds=126, total_fda_steps=2250, accuracy=0.9807999730110168)
EpochMetrics(epoch=73, total_rounds=127, total_fda_steps=2282, accuracy=0.9818000197410583)
EpochMetrics(epoch=74, total_rounds=129, total_fda_steps=2313, accuracy=0.9814000129699707)
EpochMetrics(epoch=75, total_rounds=131, total_fda_steps=2344, accuracy=0.98089998960495)
EpochMetrics(epoch=76, total_rounds=132, total_fda_steps=2375, accuracy=0.9814000129699707)
EpochMetrics(epoch=77, total_rounds=134, total_fda_steps=2407, accuracy=0.9812999963760376)
EpochMetrics(epoch=78, total_rounds=135, total_fda_steps=2438, accuracy=0.9815999865531921)
EpochMetrics(epoch=79, total_rounds=137, total_fda_steps=2469, accuracy=0.9821000099182129)
EpochMetrics(epoch=80, total_rounds=138, total_fda_steps=2500, accuracy=0.9818999767303467)
EpochMetrics(epoch=81, total_rounds=140, total_fda_steps=2532, accuracy=0.9818000197410583)
EpochMetrics(epoch=82, total_rounds=141, total_fda_steps=2563, accuracy=0.9818000197410583)
EpochMetrics(epoch=83, total_rounds=143, total_fda_steps=2594, accuracy=0.9814000129699707)
EpochMetrics(epoch=84, total_rounds=144, total_fda_steps=2625, accuracy=0.9819999933242798)
EpochMetrics(epoch=85, total_rounds=146, total_fda_steps=2657, accuracy=0.9818999767303467)
EpochMetrics(epoch=86, total_rounds=147, total_fda_steps=2688, accuracy=0.9825000166893005)
EpochMetrics(epoch=87, total_rounds=148, total_fda_steps=2719, accuracy=0.9824000000953674)
EpochMetrics(epoch=88, total_rounds=150, total_fda_steps=2750, accuracy=0.9825999736785889)
EpochMetrics(epoch=89, total_rounds=151, total_fda_steps=2782, accuracy=0.9824000000953674)
