Num GPUs Available:  1

------------ Current Test : ------------
NN name : LeNet-5
FDA name : synchronous
Num Clients : 45
Batch size : 32
Num Epochs : 250
Number of steps until we check RTC : 1
Theta : 0.0
-----------------------------------------

EpochMetrics(epoch=1, total_rounds=42, total_fda_steps=42, accuracy=0.8447999954223633)
EpochMetrics(epoch=2, total_rounds=84, total_fda_steps=84, accuracy=0.8901000022888184)
EpochMetrics(epoch=3, total_rounds=125, total_fda_steps=125, accuracy=0.9027000069618225)
EpochMetrics(epoch=4, total_rounds=167, total_fda_steps=167, accuracy=0.9124000072479248)
EpochMetrics(epoch=5, total_rounds=209, total_fda_steps=209, accuracy=0.9168999791145325)
EpochMetrics(epoch=6, total_rounds=250, total_fda_steps=250, accuracy=0.9239000082015991)
EpochMetrics(epoch=7, total_rounds=292, total_fda_steps=292, accuracy=0.9284999966621399)
EpochMetrics(epoch=8, total_rounds=334, total_fda_steps=334, accuracy=0.9343000054359436)
EpochMetrics(epoch=9, total_rounds=375, total_fda_steps=375, accuracy=0.9383999705314636)
EpochMetrics(epoch=10, total_rounds=417, total_fda_steps=417, accuracy=0.9420999884605408)
EpochMetrics(epoch=11, total_rounds=459, total_fda_steps=459, accuracy=0.9465000033378601)
EpochMetrics(epoch=12, total_rounds=500, total_fda_steps=500, accuracy=0.9476000070571899)
EpochMetrics(epoch=13, total_rounds=542, total_fda_steps=542, accuracy=0.9503999948501587)
EpochMetrics(epoch=14, total_rounds=584, total_fda_steps=584, accuracy=0.9531999826431274)
EpochMetrics(epoch=15, total_rounds=625, total_fda_steps=625, accuracy=0.9553999900817871)
EpochMetrics(epoch=16, total_rounds=667, total_fda_steps=667, accuracy=0.9570000171661377)
EpochMetrics(epoch=17, total_rounds=709, total_fda_steps=709, accuracy=0.9585999846458435)
EpochMetrics(epoch=18, total_rounds=750, total_fda_steps=750, accuracy=0.9596999883651733)
EpochMetrics(epoch=19, total_rounds=792, total_fda_steps=792, accuracy=0.9607999920845032)
EpochMetrics(epoch=20, total_rounds=834, total_fda_steps=834, accuracy=0.9629999995231628)
EpochMetrics(epoch=21, total_rounds=875, total_fda_steps=875, accuracy=0.9632999897003174)
EpochMetrics(epoch=22, total_rounds=917, total_fda_steps=917, accuracy=0.965499997138977)
EpochMetrics(epoch=23, total_rounds=959, total_fda_steps=959, accuracy=0.9671000242233276)
EpochMetrics(epoch=24, total_rounds=1000, total_fda_steps=1000, accuracy=0.9686999917030334)
EpochMetrics(epoch=25, total_rounds=1042, total_fda_steps=1042, accuracy=0.9684000015258789)
EpochMetrics(epoch=26, total_rounds=1084, total_fda_steps=1084, accuracy=0.9695000052452087)
EpochMetrics(epoch=27, total_rounds=1125, total_fda_steps=1125, accuracy=0.9707000255584717)
EpochMetrics(epoch=28, total_rounds=1167, total_fda_steps=1167, accuracy=0.972000002861023)
EpochMetrics(epoch=29, total_rounds=1209, total_fda_steps=1209, accuracy=0.9707000255584717)
EpochMetrics(epoch=30, total_rounds=1250, total_fda_steps=1250, accuracy=0.972000002861023)
EpochMetrics(epoch=31, total_rounds=1292, total_fda_steps=1292, accuracy=0.9728999733924866)
