Num GPUs Available:  1

------------ Current Test : ------------
NN name : LeNet-5
FDA name : sketch
Num Clients : 15
Batch size : 32
Num Epochs : 350
Number of steps until we check RTC : 1
Theta : 0.5
-----------------------------------------

retracing `sketch_for_vector`
EpochMetrics(epoch=1, total_rounds=6, total_fda_steps=125, accuracy=0.9064000248908997)
EpochMetrics(epoch=2, total_rounds=11, total_fda_steps=250, accuracy=0.9240000247955322)
EpochMetrics(epoch=3, total_rounds=16, total_fda_steps=375, accuracy=0.9386000037193298)
EpochMetrics(epoch=4, total_rounds=22, total_fda_steps=500, accuracy=0.9473999738693237)
EpochMetrics(epoch=5, total_rounds=27, total_fda_steps=625, accuracy=0.9528999924659729)
EpochMetrics(epoch=6, total_rounds=32, total_fda_steps=750, accuracy=0.9581999778747559)
EpochMetrics(epoch=7, total_rounds=38, total_fda_steps=875, accuracy=0.9616000056266785)
EpochMetrics(epoch=8, total_rounds=43, total_fda_steps=1000, accuracy=0.9634000062942505)
EpochMetrics(epoch=9, total_rounds=48, total_fda_steps=1125, accuracy=0.9672999978065491)
EpochMetrics(epoch=10, total_rounds=54, total_fda_steps=1250, accuracy=0.968999981880188)
EpochMetrics(epoch=11, total_rounds=59, total_fda_steps=1375, accuracy=0.9696999788284302)
EpochMetrics(epoch=12, total_rounds=65, total_fda_steps=1500, accuracy=0.9725000262260437)
EpochMetrics(epoch=13, total_rounds=70, total_fda_steps=1625, accuracy=0.9728000164031982)
EpochMetrics(epoch=14, total_rounds=75, total_fda_steps=1750, accuracy=0.9754999876022339)
EpochMetrics(epoch=15, total_rounds=81, total_fda_steps=1875, accuracy=0.9769999980926514)
EpochMetrics(epoch=16, total_rounds=86, total_fda_steps=2000, accuracy=0.9776999950408936)
EpochMetrics(epoch=17, total_rounds=92, total_fda_steps=2125, accuracy=0.9787999987602234)
EpochMetrics(epoch=18, total_rounds=97, total_fda_steps=2250, accuracy=0.9796000123023987)
EpochMetrics(epoch=19, total_rounds=103, total_fda_steps=2375, accuracy=0.9796000123023987)
EpochMetrics(epoch=20, total_rounds=108, total_fda_steps=2500, accuracy=0.9801999926567078)
EpochMetrics(epoch=21, total_rounds=114, total_fda_steps=2625, accuracy=0.980400025844574)
EpochMetrics(epoch=22, total_rounds=119, total_fda_steps=2750, accuracy=0.98089998960495)
EpochMetrics(epoch=23, total_rounds=125, total_fda_steps=2875, accuracy=0.9811000227928162)
EpochMetrics(epoch=24, total_rounds=130, total_fda_steps=3000, accuracy=0.9822999835014343)
EpochMetrics(epoch=25, total_rounds=136, total_fda_steps=3125, accuracy=0.9821000099182129)
EpochMetrics(epoch=26, total_rounds=141, total_fda_steps=3250, accuracy=0.9829000234603882)
EpochMetrics(epoch=27, total_rounds=147, total_fda_steps=3375, accuracy=0.9829999804496765)
EpochMetrics(epoch=28, total_rounds=152, total_fda_steps=3500, accuracy=0.9830999970436096)
EpochMetrics(epoch=29, total_rounds=158, total_fda_steps=3625, accuracy=0.9836000204086304)
EpochMetrics(epoch=30, total_rounds=163, total_fda_steps=3750, accuracy=0.983299970626831)
EpochMetrics(epoch=31, total_rounds=168, total_fda_steps=3875, accuracy=0.9842000007629395)
EpochMetrics(epoch=32, total_rounds=173, total_fda_steps=4000, accuracy=0.9836999773979187)
EpochMetrics(epoch=33, total_rounds=179, total_fda_steps=4125, accuracy=0.9842000007629395)
EpochMetrics(epoch=34, total_rounds=184, total_fda_steps=4250, accuracy=0.9837999939918518)
EpochMetrics(epoch=35, total_rounds=189, total_fda_steps=4375, accuracy=0.9847999811172485)
EpochMetrics(epoch=36, total_rounds=194, total_fda_steps=4500, accuracy=0.9846000075340271)
