Num GPUs Available:  1

------------ Current Test : ------------
NN name : LeNet-5
FDA name : naive
Num Clients : 35
Batch size : 256
Num Epochs : 500
Number of steps until we check RTC : 1
Theta : 1.0
-----------------------------------------

EpochMetrics(epoch=1, total_rounds=2, total_fda_steps=7, accuracy=0.6590999960899353)
EpochMetrics(epoch=2, total_rounds=3, total_fda_steps=14, accuracy=0.7049999833106995)
EpochMetrics(epoch=3, total_rounds=4, total_fda_steps=21, accuracy=0.7616999745368958)
EpochMetrics(epoch=4, total_rounds=5, total_fda_steps=27, accuracy=0.8069999814033508)
EpochMetrics(epoch=5, total_rounds=6, total_fda_steps=34, accuracy=0.843999981880188)
EpochMetrics(epoch=6, total_rounds=7, total_fda_steps=41, accuracy=0.8651999831199646)
EpochMetrics(epoch=7, total_rounds=7, total_fda_steps=47, accuracy=0.8765000104904175)
EpochMetrics(epoch=8, total_rounds=8, total_fda_steps=54, accuracy=0.8840000033378601)
EpochMetrics(epoch=9, total_rounds=8, total_fda_steps=61, accuracy=0.890500009059906)
EpochMetrics(epoch=10, total_rounds=9, total_fda_steps=67, accuracy=0.8942000269889832)
EpochMetrics(epoch=11, total_rounds=9, total_fda_steps=74, accuracy=0.8991000056266785)
EpochMetrics(epoch=12, total_rounds=10, total_fda_steps=81, accuracy=0.9031000137329102)
EpochMetrics(epoch=13, total_rounds=10, total_fda_steps=88, accuracy=0.906499981880188)
EpochMetrics(epoch=14, total_rounds=10, total_fda_steps=94, accuracy=0.909500002861023)
EpochMetrics(epoch=15, total_rounds=11, total_fda_steps=101, accuracy=0.9125000238418579)
EpochMetrics(epoch=16, total_rounds=11, total_fda_steps=108, accuracy=0.9142000079154968)
EpochMetrics(epoch=17, total_rounds=12, total_fda_steps=114, accuracy=0.9164999723434448)
EpochMetrics(epoch=18, total_rounds=12, total_fda_steps=121, accuracy=0.9189000129699707)
EpochMetrics(epoch=19, total_rounds=12, total_fda_steps=128, accuracy=0.9204000234603882)
EpochMetrics(epoch=20, total_rounds=13, total_fda_steps=134, accuracy=0.9230999946594238)
EpochMetrics(epoch=21, total_rounds=13, total_fda_steps=141, accuracy=0.923799991607666)
EpochMetrics(epoch=22, total_rounds=14, total_fda_steps=148, accuracy=0.9253000020980835)
EpochMetrics(epoch=23, total_rounds=14, total_fda_steps=155, accuracy=0.9283999800682068)
EpochMetrics(epoch=24, total_rounds=14, total_fda_steps=161, accuracy=0.9284999966621399)
EpochMetrics(epoch=25, total_rounds=15, total_fda_steps=168, accuracy=0.9315000176429749)
EpochMetrics(epoch=26, total_rounds=15, total_fda_steps=175, accuracy=0.9333000183105469)
EpochMetrics(epoch=27, total_rounds=16, total_fda_steps=181, accuracy=0.9348000288009644)
EpochMetrics(epoch=28, total_rounds=16, total_fda_steps=188, accuracy=0.9358000159263611)
EpochMetrics(epoch=29, total_rounds=16, total_fda_steps=195, accuracy=0.9380000233650208)
EpochMetrics(epoch=30, total_rounds=17, total_fda_steps=201, accuracy=0.9386000037193298)
EpochMetrics(epoch=31, total_rounds=17, total_fda_steps=208, accuracy=0.9401000142097473)
EpochMetrics(epoch=32, total_rounds=18, total_fda_steps=215, accuracy=0.940500020980835)
EpochMetrics(epoch=33, total_rounds=18, total_fda_steps=221, accuracy=0.9420999884605408)
EpochMetrics(epoch=34, total_rounds=18, total_fda_steps=228, accuracy=0.9437999725341797)
EpochMetrics(epoch=35, total_rounds=19, total_fda_steps=235, accuracy=0.9440000057220459)
EpochMetrics(epoch=36, total_rounds=19, total_fda_steps=242, accuracy=0.9452000260353088)
EpochMetrics(epoch=37, total_rounds=19, total_fda_steps=248, accuracy=0.945900022983551)
EpochMetrics(epoch=38, total_rounds=20, total_fda_steps=255, accuracy=0.9459999799728394)
EpochMetrics(epoch=39, total_rounds=20, total_fda_steps=262, accuracy=0.9477999806404114)
EpochMetrics(epoch=40, total_rounds=21, total_fda_steps=268, accuracy=0.9480000138282776)
EpochMetrics(epoch=41, total_rounds=21, total_fda_steps=275, accuracy=0.9488000273704529)
EpochMetrics(epoch=42, total_rounds=21, total_fda_steps=282, accuracy=0.9501000046730042)
EpochMetrics(epoch=43, total_rounds=22, total_fda_steps=288, accuracy=0.9508000016212463)
EpochMetrics(epoch=44, total_rounds=22, total_fda_steps=295, accuracy=0.9524000287055969)
EpochMetrics(epoch=45, total_rounds=22, total_fda_steps=302, accuracy=0.9524000287055969)
EpochMetrics(epoch=46, total_rounds=23, total_fda_steps=309, accuracy=0.9531000256538391)
EpochMetrics(epoch=47, total_rounds=23, total_fda_steps=315, accuracy=0.954200029373169)
EpochMetrics(epoch=48, total_rounds=24, total_fda_steps=322, accuracy=0.9544000029563904)
EpochMetrics(epoch=49, total_rounds=24, total_fda_steps=329, accuracy=0.9555000066757202)
EpochMetrics(epoch=50, total_rounds=24, total_fda_steps=335, accuracy=0.9559999704360962)
EpochMetrics(epoch=51, total_rounds=25, total_fda_steps=342, accuracy=0.957099974155426)
EpochMetrics(epoch=52, total_rounds=25, total_fda_steps=349, accuracy=0.9575999975204468)
EpochMetrics(epoch=53, total_rounds=25, total_fda_steps=355, accuracy=0.958299994468689)
EpochMetrics(epoch=54, total_rounds=26, total_fda_steps=362, accuracy=0.958899974822998)
EpochMetrics(epoch=55, total_rounds=26, total_fda_steps=369, accuracy=0.9599999785423279)
EpochMetrics(epoch=56, total_rounds=26, total_fda_steps=375, accuracy=0.9599000215530396)
EpochMetrics(epoch=57, total_rounds=27, total_fda_steps=382, accuracy=0.9606999754905701)
EpochMetrics(epoch=58, total_rounds=27, total_fda_steps=389, accuracy=0.9614999890327454)
EpochMetrics(epoch=59, total_rounds=28, total_fda_steps=396, accuracy=0.9613000154495239)
EpochMetrics(epoch=60, total_rounds=28, total_fda_steps=402, accuracy=0.9620000123977661)
EpochMetrics(epoch=61, total_rounds=28, total_fda_steps=409, accuracy=0.9624999761581421)
EpochMetrics(epoch=62, total_rounds=29, total_fda_steps=416, accuracy=0.9629999995231628)
EpochMetrics(epoch=63, total_rounds=29, total_fda_steps=422, accuracy=0.9629999995231628)
EpochMetrics(epoch=64, total_rounds=29, total_fda_steps=429, accuracy=0.9628999829292297)
EpochMetrics(epoch=65, total_rounds=30, total_fda_steps=436, accuracy=0.9642999768257141)
EpochMetrics(epoch=66, total_rounds=30, total_fda_steps=442, accuracy=0.9642999768257141)
EpochMetrics(epoch=67, total_rounds=31, total_fda_steps=449, accuracy=0.9646000266075134)
EpochMetrics(epoch=68, total_rounds=31, total_fda_steps=456, accuracy=0.9652000069618225)
EpochMetrics(epoch=69, total_rounds=31, total_fda_steps=463, accuracy=0.9656000137329102)
EpochMetrics(epoch=70, total_rounds=32, total_fda_steps=469, accuracy=0.965399980545044)
EpochMetrics(epoch=71, total_rounds=32, total_fda_steps=476, accuracy=0.9663000106811523)
EpochMetrics(epoch=72, total_rounds=32, total_fda_steps=483, accuracy=0.9664999842643738)
EpochMetrics(epoch=73, total_rounds=33, total_fda_steps=489, accuracy=0.9670000076293945)
EpochMetrics(epoch=74, total_rounds=33, total_fda_steps=496, accuracy=0.9672999978065491)
EpochMetrics(epoch=75, total_rounds=33, total_fda_steps=503, accuracy=0.967199981212616)
EpochMetrics(epoch=76, total_rounds=34, total_fda_steps=509, accuracy=0.9682999849319458)
EpochMetrics(epoch=77, total_rounds=34, total_fda_steps=516, accuracy=0.9678000211715698)
EpochMetrics(epoch=78, total_rounds=34, total_fda_steps=523, accuracy=0.9684000015258789)
EpochMetrics(epoch=79, total_rounds=35, total_fda_steps=530, accuracy=0.9685999751091003)
EpochMetrics(epoch=80, total_rounds=35, total_fda_steps=536, accuracy=0.9685999751091003)
EpochMetrics(epoch=81, total_rounds=36, total_fda_steps=543, accuracy=0.9686999917030334)
EpochMetrics(epoch=82, total_rounds=36, total_fda_steps=550, accuracy=0.9686999917030334)
EpochMetrics(epoch=83, total_rounds=36, total_fda_steps=556, accuracy=0.9693999886512756)
EpochMetrics(epoch=84, total_rounds=37, total_fda_steps=563, accuracy=0.9693999886512756)
EpochMetrics(epoch=85, total_rounds=37, total_fda_steps=570, accuracy=0.9696999788284302)
EpochMetrics(epoch=86, total_rounds=37, total_fda_steps=576, accuracy=0.9700000286102295)
EpochMetrics(epoch=87, total_rounds=38, total_fda_steps=583, accuracy=0.9700000286102295)
EpochMetrics(epoch=88, total_rounds=38, total_fda_steps=590, accuracy=0.9708999991416931)
EpochMetrics(epoch=89, total_rounds=38, total_fda_steps=596, accuracy=0.9710999727249146)
EpochMetrics(epoch=90, total_rounds=39, total_fda_steps=603, accuracy=0.9710999727249146)
EpochMetrics(epoch=91, total_rounds=39, total_fda_steps=610, accuracy=0.9714999794960022)
EpochMetrics(epoch=92, total_rounds=39, total_fda_steps=617, accuracy=0.9708999991416931)
EpochMetrics(epoch=93, total_rounds=40, total_fda_steps=623, accuracy=0.9714000225067139)
EpochMetrics(epoch=94, total_rounds=40, total_fda_steps=630, accuracy=0.9718000292778015)
EpochMetrics(epoch=95, total_rounds=40, total_fda_steps=637, accuracy=0.9721999764442444)
EpochMetrics(epoch=96, total_rounds=41, total_fda_steps=643, accuracy=0.9721999764442444)
EpochMetrics(epoch=97, total_rounds=41, total_fda_steps=650, accuracy=0.9718999862670898)
EpochMetrics(epoch=98, total_rounds=42, total_fda_steps=657, accuracy=0.9725000262260437)
EpochMetrics(epoch=99, total_rounds=42, total_fda_steps=663, accuracy=0.9732000231742859)
EpochMetrics(epoch=100, total_rounds=42, total_fda_steps=670, accuracy=0.9726999998092651)
EpochMetrics(epoch=101, total_rounds=43, total_fda_steps=677, accuracy=0.9728999733924866)
EpochMetrics(epoch=102, total_rounds=43, total_fda_steps=684, accuracy=0.9732000231742859)
EpochMetrics(epoch=103, total_rounds=43, total_fda_steps=690, accuracy=0.9732999801635742)
EpochMetrics(epoch=104, total_rounds=43, total_fda_steps=697, accuracy=0.973800003528595)
EpochMetrics(epoch=105, total_rounds=44, total_fda_steps=704, accuracy=0.973800003528595)
EpochMetrics(epoch=106, total_rounds=44, total_fda_steps=710, accuracy=0.9742000102996826)
EpochMetrics(epoch=107, total_rounds=44, total_fda_steps=717, accuracy=0.973800003528595)
EpochMetrics(epoch=108, total_rounds=45, total_fda_steps=724, accuracy=0.9743000268936157)
EpochMetrics(epoch=109, total_rounds=45, total_fda_steps=730, accuracy=0.9749000072479248)
EpochMetrics(epoch=110, total_rounds=45, total_fda_steps=737, accuracy=0.9746000170707703)
EpochMetrics(epoch=111, total_rounds=46, total_fda_steps=744, accuracy=0.9751999974250793)
EpochMetrics(epoch=112, total_rounds=46, total_fda_steps=750, accuracy=0.9751999974250793)
EpochMetrics(epoch=113, total_rounds=46, total_fda_steps=757, accuracy=0.9749000072479248)
EpochMetrics(epoch=114, total_rounds=47, total_fda_steps=764, accuracy=0.9754999876022339)
EpochMetrics(epoch=115, total_rounds=47, total_fda_steps=771, accuracy=0.9751999974250793)
EpochMetrics(epoch=116, total_rounds=47, total_fda_steps=777, accuracy=0.9753000140190125)
EpochMetrics(epoch=117, total_rounds=48, total_fda_steps=784, accuracy=0.9758999943733215)
EpochMetrics(epoch=118, total_rounds=48, total_fda_steps=791, accuracy=0.9760000109672546)
EpochMetrics(epoch=119, total_rounds=48, total_fda_steps=797, accuracy=0.9757999777793884)
EpochMetrics(epoch=120, total_rounds=49, total_fda_steps=804, accuracy=0.9754999876022339)
EpochMetrics(epoch=121, total_rounds=49, total_fda_steps=811, accuracy=0.9760000109672546)
EpochMetrics(epoch=122, total_rounds=49, total_fda_steps=817, accuracy=0.9768000245094299)
EpochMetrics(epoch=123, total_rounds=50, total_fda_steps=824, accuracy=0.9758999943733215)
EpochMetrics(epoch=124, total_rounds=50, total_fda_steps=831, accuracy=0.9769999980926514)
EpochMetrics(epoch=125, total_rounds=50, total_fda_steps=838, accuracy=0.9768000245094299)
EpochMetrics(epoch=126, total_rounds=51, total_fda_steps=844, accuracy=0.9768000245094299)
EpochMetrics(epoch=127, total_rounds=51, total_fda_steps=851, accuracy=0.9769999980926514)
EpochMetrics(epoch=128, total_rounds=51, total_fda_steps=858, accuracy=0.9771000146865845)
EpochMetrics(epoch=129, total_rounds=52, total_fda_steps=864, accuracy=0.9779999852180481)
EpochMetrics(epoch=130, total_rounds=52, total_fda_steps=871, accuracy=0.9772999882698059)
EpochMetrics(epoch=131, total_rounds=52, total_fda_steps=878, accuracy=0.9775000214576721)
EpochMetrics(epoch=132, total_rounds=52, total_fda_steps=884, accuracy=0.977400004863739)
EpochMetrics(epoch=133, total_rounds=53, total_fda_steps=891, accuracy=0.9778000116348267)
EpochMetrics(epoch=134, total_rounds=53, total_fda_steps=898, accuracy=0.9781000018119812)
EpochMetrics(epoch=135, total_rounds=53, total_fda_steps=905, accuracy=0.9772999882698059)
EpochMetrics(epoch=136, total_rounds=54, total_fda_steps=911, accuracy=0.9775999784469604)
EpochMetrics(epoch=137, total_rounds=54, total_fda_steps=918, accuracy=0.9782999753952026)
EpochMetrics(epoch=138, total_rounds=54, total_fda_steps=925, accuracy=0.9778000116348267)
EpochMetrics(epoch=139, total_rounds=55, total_fda_steps=931, accuracy=0.9772999882698059)
EpochMetrics(epoch=140, total_rounds=55, total_fda_steps=938, accuracy=0.9779999852180481)
EpochMetrics(epoch=141, total_rounds=55, total_fda_steps=945, accuracy=0.9783999919891357)
EpochMetrics(epoch=142, total_rounds=55, total_fda_steps=951, accuracy=0.9776999950408936)
EpochMetrics(epoch=143, total_rounds=56, total_fda_steps=958, accuracy=0.9785000085830688)
EpochMetrics(epoch=144, total_rounds=56, total_fda_steps=965, accuracy=0.9786999821662903)
EpochMetrics(epoch=145, total_rounds=56, total_fda_steps=971, accuracy=0.9787999987602234)
EpochMetrics(epoch=146, total_rounds=57, total_fda_steps=978, accuracy=0.9789999723434448)
EpochMetrics(epoch=147, total_rounds=57, total_fda_steps=985, accuracy=0.9793000221252441)
EpochMetrics(epoch=148, total_rounds=57, total_fda_steps=992, accuracy=0.979200005531311)
EpochMetrics(epoch=149, total_rounds=58, total_fda_steps=998, accuracy=0.9787999987602234)
EpochMetrics(epoch=150, total_rounds=58, total_fda_steps=1005, accuracy=0.9786999821662903)
EpochMetrics(epoch=151, total_rounds=58, total_fda_steps=1012, accuracy=0.9793000221252441)
EpochMetrics(epoch=152, total_rounds=58, total_fda_steps=1018, accuracy=0.9793999791145325)
EpochMetrics(epoch=153, total_rounds=59, total_fda_steps=1025, accuracy=0.9789999723434448)
EpochMetrics(epoch=154, total_rounds=59, total_fda_steps=1032, accuracy=0.9793000221252441)
EpochMetrics(epoch=155, total_rounds=59, total_fda_steps=1038, accuracy=0.9797000288963318)
EpochMetrics(epoch=156, total_rounds=60, total_fda_steps=1045, accuracy=0.9793999791145325)
EpochMetrics(epoch=157, total_rounds=60, total_fda_steps=1052, accuracy=0.9793000221252441)
EpochMetrics(epoch=158, total_rounds=60, total_fda_steps=1059, accuracy=0.9796000123023987)
EpochMetrics(epoch=159, total_rounds=60, total_fda_steps=1065, accuracy=0.9797000288963318)
EpochMetrics(epoch=160, total_rounds=61, total_fda_steps=1072, accuracy=0.9794999957084656)
EpochMetrics(epoch=161, total_rounds=61, total_fda_steps=1079, accuracy=0.9794999957084656)
EpochMetrics(epoch=162, total_rounds=61, total_fda_steps=1085, accuracy=0.9801999926567078)
EpochMetrics(epoch=163, total_rounds=61, total_fda_steps=1092, accuracy=0.9801999926567078)
EpochMetrics(epoch=164, total_rounds=62, total_fda_steps=1099, accuracy=0.9799000024795532)
EpochMetrics(epoch=165, total_rounds=62, total_fda_steps=1105, accuracy=0.980400025844574)
EpochMetrics(epoch=166, total_rounds=62, total_fda_steps=1112, accuracy=0.98089998960495)
EpochMetrics(epoch=167, total_rounds=63, total_fda_steps=1119, accuracy=0.9805999994277954)
EpochMetrics(epoch=168, total_rounds=63, total_fda_steps=1125, accuracy=0.9803000092506409)
