Num GPUs Available:  1

------------ Current Test : ------------
NN name : LeNet-5
FDA name : synchronous
Num Clients : 40
Batch size : 64
Num Epochs : 250
Number of steps until we check RTC : 1
Theta : 0.0
-----------------------------------------

EpochMetrics(epoch=66, total_rounds=1547, total_fda_steps=1547, accuracy=0.9829999804496765)
EpochMetrics(epoch=67, total_rounds=1571, total_fda_steps=1571, accuracy=0.9825000166893005)
EpochMetrics(epoch=68, total_rounds=1594, total_fda_steps=1594, accuracy=0.9822999835014343)
EpochMetrics(epoch=69, total_rounds=1618, total_fda_steps=1618, accuracy=0.982699990272522)
EpochMetrics(epoch=70, total_rounds=1641, total_fda_steps=1641, accuracy=0.9832000136375427)
EpochMetrics(epoch=71, total_rounds=1665, total_fda_steps=1665, accuracy=0.983299970626831)
EpochMetrics(epoch=72, total_rounds=1688, total_fda_steps=1688, accuracy=0.983299970626831)
EpochMetrics(epoch=73, total_rounds=1711, total_fda_steps=1711, accuracy=0.9829999804496765)
EpochMetrics(epoch=74, total_rounds=1735, total_fda_steps=1735, accuracy=0.9833999872207642)
EpochMetrics(epoch=75, total_rounds=1758, total_fda_steps=1758, accuracy=0.9846000075340271)
EpochMetrics(epoch=76, total_rounds=1782, total_fda_steps=1782, accuracy=0.9839000105857849)
EpochMetrics(epoch=77, total_rounds=1805, total_fda_steps=1805, accuracy=0.9835000038146973)
EpochMetrics(epoch=78, total_rounds=1829, total_fda_steps=1829, accuracy=0.9850000143051147)
EpochMetrics(epoch=79, total_rounds=1852, total_fda_steps=1852, accuracy=0.9843999743461609)
EpochMetrics(epoch=80, total_rounds=1875, total_fda_steps=1875, accuracy=0.9840999841690063)
EpochMetrics(epoch=81, total_rounds=1899, total_fda_steps=1899, accuracy=0.9847000241279602)
EpochMetrics(epoch=82, total_rounds=1922, total_fda_steps=1922, accuracy=0.9848999977111816)
EpochMetrics(epoch=83, total_rounds=1946, total_fda_steps=1946, accuracy=0.9853000044822693)
EpochMetrics(epoch=84, total_rounds=1969, total_fda_steps=1969, accuracy=0.9851999878883362)
EpochMetrics(epoch=85, total_rounds=1993, total_fda_steps=1993, accuracy=0.9850999712944031)
EpochMetrics(epoch=86, total_rounds=2016, total_fda_steps=2016, accuracy=0.9853000044822693)
EpochMetrics(epoch=87, total_rounds=2040, total_fda_steps=2040, accuracy=0.9847000241279602)
