Num GPUs Available:  1

------------ Current Test : ------------
NN name : LeNet-5
FDA name : linear
Num Clients : 50
Batch size : 32
Num Epochs : 350
Number of steps until we check RTC : 1
Theta : 0.5
-----------------------------------------

EpochMetrics(epoch=66, total_rounds=131, total_fda_steps=2475, accuracy=0.9818999767303467)
EpochMetrics(epoch=67, total_rounds=133, total_fda_steps=2513, accuracy=0.9822999835014343)
EpochMetrics(epoch=68, total_rounds=135, total_fda_steps=2550, accuracy=0.9822999835014343)
EpochMetrics(epoch=69, total_rounds=137, total_fda_steps=2588, accuracy=0.9825000166893005)
EpochMetrics(epoch=70, total_rounds=138, total_fda_steps=2625, accuracy=0.9824000000953674)
EpochMetrics(epoch=71, total_rounds=140, total_fda_steps=2663, accuracy=0.982699990272522)
EpochMetrics(epoch=72, total_rounds=142, total_fda_steps=2700, accuracy=0.9825000166893005)
EpochMetrics(epoch=73, total_rounds=144, total_fda_steps=2738, accuracy=0.9829999804496765)
EpochMetrics(epoch=74, total_rounds=146, total_fda_steps=2775, accuracy=0.9825000166893005)
EpochMetrics(epoch=75, total_rounds=147, total_fda_steps=2813, accuracy=0.9824000000953674)
EpochMetrics(epoch=76, total_rounds=149, total_fda_steps=2850, accuracy=0.9825000166893005)
EpochMetrics(epoch=77, total_rounds=151, total_fda_steps=2888, accuracy=0.9828000068664551)
EpochMetrics(epoch=78, total_rounds=153, total_fda_steps=2925, accuracy=0.9829999804496765)
EpochMetrics(epoch=79, total_rounds=154, total_fda_steps=2963, accuracy=0.9829999804496765)
EpochMetrics(epoch=80, total_rounds=156, total_fda_steps=3000, accuracy=0.9828000068664551)
EpochMetrics(epoch=81, total_rounds=158, total_fda_steps=3038, accuracy=0.9830999970436096)
EpochMetrics(epoch=82, total_rounds=160, total_fda_steps=3075, accuracy=0.9836000204086304)
EpochMetrics(epoch=83, total_rounds=161, total_fda_steps=3113, accuracy=0.9833999872207642)
EpochMetrics(epoch=84, total_rounds=163, total_fda_steps=3150, accuracy=0.9837999939918518)
EpochMetrics(epoch=85, total_rounds=165, total_fda_steps=3188, accuracy=0.9837999939918518)
EpochMetrics(epoch=86, total_rounds=167, total_fda_steps=3225, accuracy=0.9840999841690063)
EpochMetrics(epoch=87, total_rounds=168, total_fda_steps=3263, accuracy=0.9840999841690063)
EpochMetrics(epoch=88, total_rounds=170, total_fda_steps=3300, accuracy=0.9839000105857849)
EpochMetrics(epoch=89, total_rounds=172, total_fda_steps=3338, accuracy=0.9836999773979187)
EpochMetrics(epoch=90, total_rounds=174, total_fda_steps=3375, accuracy=0.9842000007629395)
EpochMetrics(epoch=91, total_rounds=175, total_fda_steps=3413, accuracy=0.9846000075340271)
EpochMetrics(epoch=92, total_rounds=177, total_fda_steps=3450, accuracy=0.984499990940094)
EpochMetrics(epoch=93, total_rounds=179, total_fda_steps=3488, accuracy=0.9840999841690063)
EpochMetrics(epoch=94, total_rounds=181, total_fda_steps=3525, accuracy=0.9846000075340271)
EpochMetrics(epoch=95, total_rounds=182, total_fda_steps=3563, accuracy=0.9843999743461609)
EpochMetrics(epoch=96, total_rounds=184, total_fda_steps=3600, accuracy=0.9850999712944031)
EpochMetrics(epoch=97, total_rounds=186, total_fda_steps=3638, accuracy=0.9851999878883362)
EpochMetrics(epoch=98, total_rounds=187, total_fda_steps=3675, accuracy=0.9848999977111816)
EpochMetrics(epoch=99, total_rounds=189, total_fda_steps=3713, accuracy=0.9861999750137329)
EpochMetrics(epoch=100, total_rounds=191, total_fda_steps=3750, accuracy=0.9857000112533569)
EpochMetrics(epoch=101, total_rounds=193, total_fda_steps=3788, accuracy=0.9857000112533569)
EpochMetrics(epoch=102, total_rounds=195, total_fda_steps=3825, accuracy=0.9858999848365784)
EpochMetrics(epoch=103, total_rounds=196, total_fda_steps=3863, accuracy=0.98580002784729)
EpochMetrics(epoch=104, total_rounds=198, total_fda_steps=3900, accuracy=0.9860000014305115)
EpochMetrics(epoch=105, total_rounds=200, total_fda_steps=3938, accuracy=0.9860000014305115)
EpochMetrics(epoch=106, total_rounds=201, total_fda_steps=3975, accuracy=0.9857000112533569)
EpochMetrics(epoch=107, total_rounds=203, total_fda_steps=4013, accuracy=0.9864000082015991)
EpochMetrics(epoch=108, total_rounds=205, total_fda_steps=4050, accuracy=0.9861999750137329)
EpochMetrics(epoch=109, total_rounds=206, total_fda_steps=4088, accuracy=0.9865000247955322)
EpochMetrics(epoch=110, total_rounds=208, total_fda_steps=4125, accuracy=0.9864000082015991)
EpochMetrics(epoch=111, total_rounds=210, total_fda_steps=4163, accuracy=0.9864000082015991)
EpochMetrics(epoch=112, total_rounds=211, total_fda_steps=4200, accuracy=0.9873999953269958)
EpochMetrics(epoch=113, total_rounds=213, total_fda_steps=4238, accuracy=0.9868999719619751)
EpochMetrics(epoch=114, total_rounds=215, total_fda_steps=4275, accuracy=0.9868000149726868)
EpochMetrics(epoch=115, total_rounds=216, total_fda_steps=4313, accuracy=0.986299991607666)
EpochMetrics(epoch=116, total_rounds=218, total_fda_steps=4350, accuracy=0.986299991607666)
EpochMetrics(epoch=117, total_rounds=220, total_fda_steps=4388, accuracy=0.9865000247955322)
EpochMetrics(epoch=118, total_rounds=221, total_fda_steps=4425, accuracy=0.9871000051498413)
EpochMetrics(epoch=119, total_rounds=223, total_fda_steps=4463, accuracy=0.9865000247955322)
EpochMetrics(epoch=120, total_rounds=225, total_fda_steps=4500, accuracy=0.986299991607666)
