dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,39,"[347, 356, 368, 388, 391, 324, 236, 276, 260]",7313,0.9945999979972839
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,40,"[353, 362, 374, 394, 397, 329, 240, 282, 266]",7500,0.9951000213623047
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,41,"[362, 370, 382, 402, 405, 336, 245, 288, 272]",7688,0.994700014591217
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,42,"[374, 381, 393, 413, 417, 344, 251, 296, 281]",7875,0.995199978351593
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,43,"[383, 391, 402, 424, 427, 353, 257, 303, 288]",8063,0.9955000281333923
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,44,"[394, 401, 412, 434, 437, 361, 263, 310, 295]",8250,0.9952999949455261
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,45,"[404, 410, 422, 443, 446, 368, 268, 317, 303]",8438,0.9958000183105469
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,46,"[415, 420, 432, 454, 456, 376, 273, 324, 310]",8625,0.9952999949455261
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,47,"[424, 427, 440, 461, 463, 382, 278, 331, 316]",8813,0.9950000047683716
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,48,"[434, 435, 448, 470, 471, 388, 283, 337, 323]",9000,0.995199978351593
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,49,"[447, 447, 461, 482, 483, 398, 290, 346, 333]",9188,0.9952999949455261
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,50,"[456, 456, 471, 491, 493, 406, 295, 353, 340]",9375,0.9943000078201294
