dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,1,"[8, 8, 7, 7, 8, 8, 6, 7, 11]",125,0.863099992275238
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,2,"[10, 11, 11, 12, 12, 12, 10, 12, 15]",250,0.941100001335144
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,3,"[12, 14, 15, 16, 16, 15, 13, 15, 18]",375,0.9713000059127808
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,4,"[14, 18, 18, 21, 20, 18, 15, 18, 21]",500,0.9804999828338623
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,5,"[17, 21, 22, 25, 23, 22, 18, 21, 24]",625,0.9865000247955322
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,6,"[19, 24, 25, 29, 27, 25, 20, 24, 26]",750,0.9868999719619751
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,7,"[21, 26, 28, 33, 31, 28, 23, 27, 29]",875,0.9890000224113464
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,8,"[23, 29, 32, 37, 35, 31, 26, 30, 31]",1000,0.9925000071525574
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,9,"[25, 33, 35, 41, 39, 35, 29, 34, 34]",1125,0.9907000064849854
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,10,"[28, 36, 39, 45, 43, 39, 32, 37, 37]",1250,0.9918000102043152
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,11,"[30, 39, 42, 49, 47, 42, 35, 40, 40]",1375,0.9937000274658203
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,12,"[33, 42, 46, 53, 51, 45, 38, 44, 42]",1500,0.9930999875068665
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,13,"[35, 45, 49, 56, 55, 49, 41, 46, 45]",1625,0.9926999807357788
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,14,"[37, 48, 52, 60, 59, 52, 44, 49, 47]",1750,0.9937000274658203
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,15,"[40, 51, 56, 64, 63, 56, 46, 52, 50]",1875,0.9947999715805054
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,16,"[42, 54, 59, 68, 67, 59, 48, 54, 52]",2000,0.994700014591217
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,17,"[45, 57, 62, 72, 71, 63, 51, 57, 55]",2125,0.9943000078201294
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,18,"[47, 59, 66, 76, 75, 66, 54, 60, 57]",2250,0.9940000176429749
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,19,"[49, 62, 69, 80, 79, 70, 56, 62, 59]",2375,0.994700014591217
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,20,"[52, 65, 73, 84, 83, 73, 59, 65, 62]",2500,0.9950000047683716
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,21,"[55, 68, 76, 87, 87, 77, 61, 67, 64]",2625,0.9947999715805054
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,22,"[57, 71, 79, 91, 91, 80, 63, 69, 66]",2750,0.9948999881744385
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,23,"[60, 74, 83, 95, 95, 84, 65, 71, 68]",2875,0.994700014591217
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,24,"[63, 78, 87, 99, 100, 87, 67, 74, 71]",3000,0.994700014591217
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,25,"[66, 81, 90, 104, 104, 90, 70, 76, 74]",3125,0.995199978351593
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,26,"[69, 84, 94, 108, 108, 94, 72, 79, 76]",3250,0.995199978351593
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,27,"[72, 87, 97, 112, 113, 97, 75, 81, 79]",3375,0.9951000213623047
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,28,"[75, 90, 101, 116, 117, 101, 77, 84, 81]",3500,0.9951000213623047
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,29,"[78, 93, 104, 120, 121, 104, 79, 86, 83]",3625,0.9945999979972839
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,30,"[81, 96, 107, 124, 125, 107, 81, 88, 86]",3750,0.9952999949455261
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,31,"[84, 99, 111, 128, 129, 111, 83, 90, 88]",3875,0.9957000017166138
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,32,"[87, 102, 114, 132, 133, 114, 86, 93, 91]",4000,0.995199978351593
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,33,"[90, 105, 118, 136, 138, 118, 88, 95, 93]",4125,0.995199978351593
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,34,"[93, 108, 121, 139, 141, 121, 90, 97, 95]",4250,0.995199978351593
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,35,"[96, 111, 125, 144, 145, 125, 92, 100, 98]",4375,0.9957000017166138
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,36,"[100, 115, 129, 148, 150, 129, 95, 102, 101]",4500,0.9951000213623047
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,37,"[103, 119, 133, 152, 154, 132, 97, 105, 103]",4625,0.9950000047683716
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,38,"[107, 123, 137, 156, 158, 136, 100, 107, 106]",4750,0.9952999949455261
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,39,"[111, 127, 142, 161, 163, 140, 102, 110, 109]",4875,0.9954000115394592
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,40,"[115, 130, 146, 165, 167, 143, 104, 113, 112]",5000,0.995199978351593
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,41,"[118, 134, 150, 169, 172, 146, 106, 115, 114]",5125,0.9957000017166138
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,42,"[121, 137, 154, 174, 176, 149, 108, 118, 117]",5250,0.9955999851226807
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,43,"[123, 139, 156, 176, 178, 152, 110, 119, 119]",5375,0.9955000281333923
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,44,"[127, 143, 160, 181, 183, 156, 113, 122, 122]",5500,0.9951000213623047
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,45,"[131, 147, 165, 185, 188, 160, 115, 125, 125]",5625,0.9955000281333923
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,46,"[134, 150, 168, 189, 192, 163, 118, 128, 127]",5750,0.9950000047683716
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,47,"[138, 153, 172, 193, 196, 166, 120, 131, 130]",5875,0.9954000115394592
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,48,"[140, 156, 175, 196, 199, 169, 121, 133, 132]",6000,0.9955999851226807
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,49,"[145, 160, 179, 201, 204, 173, 124, 136, 135]",6125,0.9958000183105469
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,50,"[150, 164, 184, 206, 209, 177, 126, 139, 139]",6250,0.9955000281333923
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,51,"[153, 168, 187, 210, 213, 180, 128, 141, 142]",6375,0.9955999851226807
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,52,"[155, 171, 191, 213, 216, 182, 130, 143, 144]",6500,0.9958000183105469
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,53,"[157, 173, 193, 216, 219, 185, 132, 145, 146]",6625,0.9955999851226807
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,54,"[161, 176, 197, 220, 223, 188, 134, 148, 149]",6750,0.9955000281333923
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,55,"[164, 179, 200, 223, 226, 191, 135, 150, 151]",6875,0.9958000183105469
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,56,"[167, 181, 203, 226, 230, 193, 137, 152, 153]",7000,0.9948999881744385
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,57,"[171, 186, 208, 231, 234, 197, 140, 155, 157]",7125,0.9958000183105469
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,58,"[175, 190, 213, 236, 239, 201, 142, 158, 160]",7250,0.9958999752998352
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,59,"[181, 194, 218, 241, 244, 205, 144, 161, 163]",7375,0.9951000213623047
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,60,"[184, 198, 221, 244, 247, 208, 146, 164, 166]",7500,0.9957000017166138
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,61,"[186, 200, 224, 248, 251, 211, 148, 166, 168]",7625,0.9957000017166138
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,62,"[189, 203, 227, 251, 254, 213, 150, 168, 170]",7750,0.9961000084877014
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,63,"[192, 206, 230, 254, 258, 216, 152, 170, 173]",7875,0.9958000183105469
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,64,"[196, 209, 234, 258, 262, 219, 153, 173, 175]",8000,0.9958000183105469
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,65,"[200, 213, 239, 263, 266, 223, 156, 176, 179]",8125,0.9955000281333923
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,66,"[204, 218, 243, 267, 271, 226, 158, 179, 181]",8250,0.9954000115394592
MNIST,-1.0,avg,naive,15,32,1,30.0,AdvancedCNN,2592202,,,67,"[207, 220, 246, 270, 274, 228, 160, 181, 184]",8375,0.9955000281333923
