dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,1,3,42,0.6051999926567078
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,2,5,84,0.8300999999046326
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,3,7,125,0.9214000105857849
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,4,9,167,0.9524999856948853
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,5,10,209,0.9704999923706055
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,6,12,250,0.9718999862670898
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,7,13,292,0.9797000288963318
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,8,14,334,0.9793999791145325
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,9,16,375,0.983299970626831
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,10,17,417,0.9846000075340271
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,11,19,459,0.9850999712944031
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,12,20,500,0.9876000285148621
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,13,21,542,0.9869999885559082
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,14,23,584,0.9886000156402588
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,15,24,625,0.9894000291824341
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,16,25,667,0.9891999959945679
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,17,27,709,0.9907000064849854
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,18,28,750,0.9902999997138977
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,19,30,792,0.9901000261306763
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,20,31,834,0.991100013256073
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,21,33,875,0.9914000034332275
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,22,35,917,0.9919000267982483
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,23,38,959,0.9922000169754028
MNIST,-1.0,wavg_drifts,sketch,45,32,1,30.0,AdvancedCNN,2592202,250,5,24,50,1000,0.9921000003814697
