dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,1,94,94,0.9172000288963318
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,2,188,188,0.9587000012397766
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,3,282,282,0.9631999731063843
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,4,375,375,0.9645000100135803
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,5,469,469,0.9639000296592712
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,6,563,563,0.9684000015258789
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,7,657,657,0.9703999757766724
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,8,750,750,0.9682999849319458
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,9,844,844,0.9688000082969666
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,10,938,938,0.9678999781608582
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,11,1032,1032,0.9671000242233276
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,12,1125,1125,0.9700000286102295
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,13,1219,1219,0.9718999862670898
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,14,1313,1313,0.9693999886512756
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,15,1407,1407,0.9692999720573425
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,16,1500,1500,0.9671000242233276
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,17,1594,1594,0.9710999727249146
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,18,1688,1688,0.97079998254776
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,19,1782,1782,0.9732000231742859
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,20,1875,1875,0.9718999862670898
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,21,1969,1969,0.9684000015258789
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,22,2063,2063,0.9726999998092651
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,23,2157,2157,0.9695000052452087
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,24,2250,2250,0.972000002861023
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,25,2344,2344,0.9732999801635742
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,26,2438,2438,0.9715999960899353
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,27,2532,2532,0.972100019454956
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,28,2625,2625,0.9739999771118164
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,29,2719,2719,0.974399983882904
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,30,2813,2813,0.9750000238418579
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,31,2907,2907,0.972599983215332
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,32,3000,3000,0.9739000201225281
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,33,3094,3094,0.9726999998092651
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,34,3188,3188,0.9750999808311462
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,35,3282,3282,0.9677000045776367
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,36,3375,3375,0.9710999727249146
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,37,3469,3469,0.9728999733924866
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,38,3563,3563,0.9711999893188477
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,39,3657,3657,0.9749000072479248
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,40,3750,3750,0.9761999845504761
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,41,3844,3844,0.9731000065803528
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,42,3938,3938,0.9732999801635742
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,43,4032,4032,0.9728000164031982
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,44,4125,4125,0.9711999893188477
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,45,4219,4219,0.9746000170707703
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,46,4313,4313,0.9757999777793884
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,47,4407,4407,0.972599983215332
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,48,4500,4500,0.9760000109672546
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,49,4594,4594,0.9735000133514404
EMNIST,synchronous,5,128,1,0,2592202,-1,-1,50,4688,4688,0.9764999747276306
