dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_num_weights,sketch_width,sketch_depth,epoch,round,total_fda_steps,est_var,actual_var
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,1,1,21,2.1663146018981934,2.093075752258301
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,2,2,33,2.136291980743408,2.0067102909088135
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,2,3,39,2.387171983718872,2.24035382270813
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,2,4,43,2.0935487747192383,1.945504903793335
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,2,5,47,2.403937578201294,2.310871124267578
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,2,6,51,2.581099510192871,2.515554189682007
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,2,7,55,2.4617278575897217,2.397968292236328
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,2,8,59,2.2299139499664307,2.1790695190429688
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,3,9,63,2.0751161575317383,2.0336241722106934
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,3,10,68,2.7920451164245605,2.7340762615203857
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,3,11,73,2.245234251022339,2.1777563095092773
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,3,12,79,2.374467372894287,2.2829325199127197
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,3,13,85,2.1284725666046143,2.0308244228363037
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,3,14,92,2.531402587890625,2.325190544128418
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,4,15,98,2.495100498199463,1.9537791013717651
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,4,16,102,2.2351765632629395,1.3120989799499512
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,4,17,105,2.298556327819824,1.0701287984848022
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,4,18,108,2.692682981491089,1.4848099946975708
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,4,19,111,2.6301560401916504,1.4791282415390015
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,4,20,114,2.0089235305786133,1.2457795143127441
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,4,21,118,3.0719707012176514,2.0464975833892822
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,4,22,122,2.549370288848877,1.5907008647918701
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,5,23,126,2.004936456680298,1.3541959524154663
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,5,24,130,2.0292341709136963,1.2989164590835571
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,5,25,134,2.2027220726013184,1.5587923526763916
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,5,26,138,2.4744832515716553,1.8604815006256104
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,5,27,142,2.9626190662384033,2.101343870162964
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,5,28,146,3.0846025943756104,2.0713260173797607
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,5,29,150,3.1479482650756836,1.945375680923462
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,5,30,153,2.0149331092834473,1.2179033756256104
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,5,31,156,2.1540842056274414,1.3642938137054443
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,6,32,159,2.116602897644043,1.4680712223052979
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,6,33,162,2.1324076652526855,1.5873807668685913
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,6,34,165,2.1762497425079346,1.7187410593032837
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,6,35,168,2.214400291442871,1.7998919486999512
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,6,36,171,2.2514119148254395,1.8266410827636719
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,6,37,174,2.256312370300293,1.8237658739089966
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,6,38,177,2.302830696105957,1.8574416637420654
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,6,39,180,2.401780128479004,1.907531499862671
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,6,40,183,2.329716920852661,1.8498082160949707
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,6,41,186,2.3188350200653076,1.829575777053833
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,7,42,189,2.1624832153320312,1.6995384693145752
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,7,43,192,2.1424331665039062,1.6886965036392212
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,7,44,195,2.2708733081817627,1.7714446783065796
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,7,45,198,2.299143075942993,1.830035924911499
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,7,46,201,2.246037721633911,1.7731010913848877
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,7,47,204,2.1913681030273438,1.7133311033248901
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,7,48,207,2.293396472930908,1.7979373931884766
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,7,49,210,2.4001755714416504,1.8957723379135132
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,7,50,213,2.493767738342285,1.9905725717544556
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,7,51,216,2.3135569095611572,1.860822081565857
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,8,52,219,2.207796812057495,1.7781814336776733
EMNIST,naive,60,32,1,2.0,2592202,-1,-1,8,53,222,2.2051522731781006,1.8122503757476807
