Num GPUs Available:  1

------------ Current Test : ------------
Dataset name : CIFAR10
Bias : None
Bench test : False
NN name : DenseNet201
FDA name : naive
Num Clients : 10
Batch size : 32
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 500.0
Aggr. Scheme : avg
Per-Layer training : False
-----------------------------------------

EpochMetrics(epoch=52, total_rounds=44, total_fda_steps=8125, accuracy=0.7573000192642212, train_accuracy=0.771875)
EpochMetrics(epoch=53, total_rounds=45, total_fda_steps=8282, accuracy=0.7576000094413757, train_accuracy=0.75625)
EpochMetrics(epoch=54, total_rounds=45, total_fda_steps=8438, accuracy=0.7569000124931335, train_accuracy=0.759375)
EpochMetrics(epoch=55, total_rounds=46, total_fda_steps=8594, accuracy=0.7652000188827515, train_accuracy=0.75625)
EpochMetrics(epoch=56, total_rounds=47, total_fda_steps=8750, accuracy=0.7649999856948853, train_accuracy=0.740625)
EpochMetrics(epoch=57, total_rounds=47, total_fda_steps=8907, accuracy=0.7620999813079834, train_accuracy=0.796875)
EpochMetrics(epoch=58, total_rounds=48, total_fda_steps=9063, accuracy=0.7702999711036682, train_accuracy=0.734375)
EpochMetrics(epoch=59, total_rounds=49, total_fda_steps=9219, accuracy=0.7644000053405762, train_accuracy=0.75625)
EpochMetrics(epoch=60, total_rounds=49, total_fda_steps=9375, accuracy=0.7644000053405762, train_accuracy=0.7875)
EpochMetrics(epoch=61, total_rounds=50, total_fda_steps=9532, accuracy=0.7716000080108643, train_accuracy=0.740625)
EpochMetrics(epoch=62, total_rounds=51, total_fda_steps=9688, accuracy=0.7706000208854675, train_accuracy=0.7625)
EpochMetrics(epoch=63, total_rounds=51, total_fda_steps=9844, accuracy=0.7664999961853027, train_accuracy=0.81875)
EpochMetrics(epoch=64, total_rounds=52, total_fda_steps=10000, accuracy=0.7738999724388123, train_accuracy=0.771875)
EpochMetrics(epoch=65, total_rounds=53, total_fda_steps=10157, accuracy=0.7670000195503235, train_accuracy=0.815625)
EpochMetrics(epoch=66, total_rounds=53, total_fda_steps=10313, accuracy=0.7734000086784363, train_accuracy=0.825)
EpochMetrics(epoch=67, total_rounds=54, total_fda_steps=10469, accuracy=0.776199996471405, train_accuracy=0.821875)
EpochMetrics(epoch=68, total_rounds=55, total_fda_steps=10625, accuracy=0.7754999995231628, train_accuracy=0.8125)
EpochMetrics(epoch=69, total_rounds=55, total_fda_steps=10782, accuracy=0.7716000080108643, train_accuracy=0.828125)
EpochMetrics(epoch=70, total_rounds=56, total_fda_steps=10938, accuracy=0.766700029373169, train_accuracy=0.809375)
EpochMetrics(epoch=71, total_rounds=57, total_fda_steps=11094, accuracy=0.779699981212616, train_accuracy=0.809375)
EpochMetrics(epoch=72, total_rounds=57, total_fda_steps=11250, accuracy=0.7709000110626221, train_accuracy=0.78125)
EpochMetrics(epoch=73, total_rounds=58, total_fda_steps=11407, accuracy=0.7795000076293945, train_accuracy=0.784375)
EpochMetrics(epoch=74, total_rounds=59, total_fda_steps=11563, accuracy=0.7720000147819519, train_accuracy=0.8125)
EpochMetrics(epoch=75, total_rounds=59, total_fda_steps=11719, accuracy=0.777400016784668, train_accuracy=0.775)
EpochMetrics(epoch=76, total_rounds=60, total_fda_steps=11875, accuracy=0.7835000157356262, train_accuracy=0.778125)
EpochMetrics(epoch=77, total_rounds=61, total_fda_steps=12032, accuracy=0.7843999862670898, train_accuracy=0.821875)
EpochMetrics(epoch=78, total_rounds=62, total_fda_steps=12188, accuracy=0.7878999710083008, train_accuracy=0.834375)
EpochMetrics(epoch=79, total_rounds=62, total_fda_steps=12344, accuracy=0.77920001745224, train_accuracy=0.803125)
EpochMetrics(epoch=80, total_rounds=63, total_fda_steps=12500, accuracy=0.7771999835968018, train_accuracy=0.84375)
EpochMetrics(epoch=81, total_rounds=64, total_fda_steps=12657, accuracy=0.7833999991416931, train_accuracy=0.83125)
EpochMetrics(epoch=82, total_rounds=65, total_fda_steps=12813, accuracy=0.7878000140190125, train_accuracy=0.79375)
EpochMetrics(epoch=83, total_rounds=65, total_fda_steps=12969, accuracy=0.7820000052452087, train_accuracy=0.790625)
EpochMetrics(epoch=84, total_rounds=66, total_fda_steps=13125, accuracy=0.7900999784469604, train_accuracy=0.809375)
