Num GPUs Available:  1

------------ Current Test : ------------
Dataset name : CIFAR10
Bias : None
Bench test : False
NN name : DenseNet201
FDA name : sketch
Num Clients : 15
Batch size : 32
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 350.0
Aggr. Scheme : avg
Per-Layer training : False
-----------------------------------------

EpochMetrics(epoch=51, total_rounds=42, total_fda_steps=5313, accuracy=0.7232000231742859, train_accuracy=0.67291665)
EpochMetrics(epoch=52, total_rounds=42, total_fda_steps=5417, accuracy=0.722599983215332, train_accuracy=0.71458334)
EpochMetrics(epoch=53, total_rounds=43, total_fda_steps=5521, accuracy=0.7307000160217285, train_accuracy=0.7125)
EpochMetrics(epoch=54, total_rounds=44, total_fda_steps=5626, accuracy=0.7354000210762024, train_accuracy=0.73333335)
EpochMetrics(epoch=55, total_rounds=44, total_fda_steps=5730, accuracy=0.7343000173568726, train_accuracy=0.69166666)
EpochMetrics(epoch=56, total_rounds=45, total_fda_steps=5834, accuracy=0.7411999702453613, train_accuracy=0.7104167)
EpochMetrics(epoch=57, total_rounds=45, total_fda_steps=5938, accuracy=0.7373999953269958, train_accuracy=0.75208336)
EpochMetrics(epoch=58, total_rounds=46, total_fda_steps=6042, accuracy=0.7440000176429749, train_accuracy=0.71458334)
EpochMetrics(epoch=59, total_rounds=47, total_fda_steps=6146, accuracy=0.7458000183105469, train_accuracy=0.7416667)
EpochMetrics(epoch=60, total_rounds=47, total_fda_steps=6251, accuracy=0.7447999715805054, train_accuracy=0.7625)
EpochMetrics(epoch=61, total_rounds=48, total_fda_steps=6355, accuracy=0.7469000220298767, train_accuracy=0.71875)
EpochMetrics(epoch=62, total_rounds=48, total_fda_steps=6459, accuracy=0.746399998664856, train_accuracy=0.775)
EpochMetrics(epoch=63, total_rounds=49, total_fda_steps=6563, accuracy=0.7484999895095825, train_accuracy=0.775)
EpochMetrics(epoch=64, total_rounds=50, total_fda_steps=6667, accuracy=0.7537999749183655, train_accuracy=0.75)
EpochMetrics(epoch=65, total_rounds=50, total_fda_steps=6771, accuracy=0.7502999901771545, train_accuracy=0.77708334)
EpochMetrics(epoch=66, total_rounds=51, total_fda_steps=6876, accuracy=0.7566999793052673, train_accuracy=0.7416667)
EpochMetrics(epoch=67, total_rounds=51, total_fda_steps=6980, accuracy=0.7578999996185303, train_accuracy=0.7583333)
EpochMetrics(epoch=68, total_rounds=52, total_fda_steps=7084, accuracy=0.7617999911308289, train_accuracy=0.77708334)
EpochMetrics(epoch=69, total_rounds=53, total_fda_steps=7188, accuracy=0.758899986743927, train_accuracy=0.7604167)
EpochMetrics(epoch=70, total_rounds=53, total_fda_steps=7292, accuracy=0.7559999823570251, train_accuracy=0.7875)
EpochMetrics(epoch=71, total_rounds=54, total_fda_steps=7396, accuracy=0.7656999826431274, train_accuracy=0.79375)
EpochMetrics(epoch=72, total_rounds=55, total_fda_steps=7501, accuracy=0.7649999856948853, train_accuracy=0.7625)
EpochMetrics(epoch=73, total_rounds=55, total_fda_steps=7605, accuracy=0.7627999782562256, train_accuracy=0.76666665)
EpochMetrics(epoch=74, total_rounds=56, total_fda_steps=7709, accuracy=0.7689999938011169, train_accuracy=0.79791665)
