Num GPUs Available:  1

------------ Current Test : ------------
Dataset name : CIFAR10
Bias : None
Bench test : False
NN name : DenseNet201
FDA name : linear
Num Clients : 25
Batch size : 32
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 350.0
Aggr. Scheme : avg
Per-Layer training : False
-----------------------------------------

EpochMetrics(epoch=52, total_rounds=38, total_fda_steps=3250, accuracy=0.6435999870300293, train_accuracy=0.615)
EpochMetrics(epoch=53, total_rounds=38, total_fda_steps=3313, accuracy=0.6638000011444092, train_accuracy=0.6775)
EpochMetrics(epoch=54, total_rounds=39, total_fda_steps=3375, accuracy=0.6744999885559082, train_accuracy=0.63875)
EpochMetrics(epoch=55, total_rounds=39, total_fda_steps=3438, accuracy=0.6888999938964844, train_accuracy=0.7125)
EpochMetrics(epoch=56, total_rounds=40, total_fda_steps=3500, accuracy=0.6934000253677368, train_accuracy=0.68)
EpochMetrics(epoch=57, total_rounds=40, total_fda_steps=3563, accuracy=0.6972000002861023, train_accuracy=0.68)
EpochMetrics(epoch=58, total_rounds=41, total_fda_steps=3625, accuracy=0.697700023651123, train_accuracy=0.68)
EpochMetrics(epoch=59, total_rounds=41, total_fda_steps=3688, accuracy=0.6923999786376953, train_accuracy=0.6875)
EpochMetrics(epoch=60, total_rounds=42, total_fda_steps=3750, accuracy=0.6963000297546387, train_accuracy=0.69)
EpochMetrics(epoch=61, total_rounds=43, total_fda_steps=3813, accuracy=0.6931999921798706, train_accuracy=0.7225)
EpochMetrics(epoch=62, total_rounds=43, total_fda_steps=3875, accuracy=0.7023000121116638, train_accuracy=0.72125)
EpochMetrics(epoch=63, total_rounds=44, total_fda_steps=3938, accuracy=0.7056999802589417, train_accuracy=0.7125)
EpochMetrics(epoch=64, total_rounds=44, total_fda_steps=4000, accuracy=0.7163000106811523, train_accuracy=0.67875)
EpochMetrics(epoch=65, total_rounds=45, total_fda_steps=4063, accuracy=0.7232999801635742, train_accuracy=0.72)
EpochMetrics(epoch=66, total_rounds=46, total_fda_steps=4125, accuracy=0.7070000171661377, train_accuracy=0.73625)
