dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_num_weights,sketch_width,sketch_depth,epoch,round,total_fda_steps,est_var,actual_var
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,1,1,11,1.0004137754440308,0.8746786117553711
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,2,2,16,1.4377597570419312,0.9853041768074036
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,2,3,19,1.1443005800247192,0.9057644009590149
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,2,4,22,1.4868606328964233,1.350164771080017
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,3,5,25,1.6566476821899414,1.510841727256775
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,3,6,28,1.5338685512542725,1.381710410118103
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,3,7,31,1.6636149883270264,1.325085997581482
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,3,8,33,1.0747840404510498,0.6823858618736267
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,3,9,35,1.107154130935669,0.6764510273933411
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,4,10,38,2.0165696144104004,1.1530886888504028
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,4,11,41,1.9065172672271729,1.0628585815429688
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,4,12,43,1.1716337203979492,0.6028555631637573
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,4,13,46,2.076089382171631,0.8177505731582642
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,5,14,48,1.255592703819275,0.4816516935825348
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,5,15,50,1.3850853443145752,0.5529177784919739
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,5,16,52,1.4174972772598267,0.6045414805412292
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,5,17,54,1.5064589977264404,0.6696373224258423
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,5,18,56,1.383418321609497,0.8356027603149414
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,5,19,58,1.508264183998108,0.8929644823074341
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,6,20,60,1.4519904851913452,0.9330465197563171
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,6,21,62,1.3741650581359863,0.9018154144287109
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,6,22,64,1.3781404495239258,0.9064591526985168
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,6,23,66,1.3962123394012451,0.9693784713745117
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,6,24,68,1.4547679424285889,1.040071964263916
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,6,25,70,1.5023704767227173,1.0630395412445068
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,7,26,72,1.444059133529663,1.055333137512207
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,7,27,74,1.390175461769104,1.0282435417175293
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,7,28,76,1.3963873386383057,1.0361840724945068
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,7,29,78,1.3769844770431519,1.035577654838562
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,7,30,80,1.333748459815979,1.0221704244613647
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,7,31,82,1.2856348752975464,0.9932078123092651
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,8,32,84,1.2573716640472412,0.9722911715507507
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,8,33,86,1.2528352737426758,0.9573273658752441
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,8,34,88,1.2366183996200562,0.9279915690422058
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,8,35,90,1.2102829217910767,0.9090860486030579
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,8,36,92,1.22311270236969,0.9056601524353027
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,9,37,94,1.223781943321228,0.897602915763855
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,9,38,96,1.2019336223602295,0.8768433332443237
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,9,39,98,1.1452405452728271,0.8356210589408875
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,9,40,100,1.0834206342697144,0.8007137179374695
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,9,41,102,1.0345022678375244,0.7765273451805115
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,9,42,104,1.0155744552612305,0.7762652039527893
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,10,43,107,2.0379817485809326,1.5497052669525146
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,10,44,110,1.9132368564605713,1.4683281183242798
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,10,45,113,1.8367805480957031,1.4326092004776
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,10,46,116,1.735477089881897,1.3699954748153687
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,11,47,119,1.6520229578018188,1.3115394115447998
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,11,48,122,1.609384536743164,1.2892683744430542
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,11,49,125,1.5559520721435547,1.2604120969772339
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,11,50,128,1.4983876943588257,1.2388430833816528
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,12,51,131,1.415987253189087,1.1857993602752686
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,12,52,134,1.3522846698760986,1.1417152881622314
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,12,53,137,1.3284484148025513,1.139696478843689
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,12,54,140,1.3305621147155762,1.1539599895477295
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,13,55,143,1.265928030014038,1.1056468486785889
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,13,56,146,1.2046486139297485,1.0565844774246216
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,13,57,149,1.162458062171936,1.0250747203826904
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,13,58,152,1.14345121383667,1.01466703414917
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,14,59,155,1.1290255784988403,1.0065231323242188
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,14,60,158,1.087920069694519,0.9750646352767944
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,14,61,161,1.0545976161956787,0.9504553079605103
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,14,62,164,1.0161572694778442,0.919934093952179
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,15,63,167,1.0213158130645752,0.9306395649909973
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,15,64,171,1.669573187828064,1.5200411081314087
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,15,65,175,1.5840837955474854,1.4453799724578857
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,16,66,179,1.5324337482452393,1.4060204029083252
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,16,67,183,1.4767452478408813,1.361446738243103
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,16,68,187,1.4184457063674927,1.3123286962509155
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,17,69,191,1.3948261737823486,1.2956151962280273
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,17,70,195,1.3216724395751953,1.2345740795135498
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,17,71,199,1.2349584102630615,1.1534814834594727
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,18,72,203,1.2261091470718384,1.1461127996444702
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,18,73,207,1.244181752204895,1.169389009475708
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,19,74,211,1.2442973852157593,1.1660549640655518
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,19,75,215,1.2013518810272217,1.1307127475738525
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,19,76,219,1.196775197982788,1.1269785165786743
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,20,77,223,1.1643939018249512,1.1002120971679688
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,20,78,227,1.1677370071411133,1.1071364879608154
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,20,79,231,1.173475742340088,1.111772894859314
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,21,80,235,1.1908376216888428,1.1292976140975952
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,21,81,239,1.148505449295044,1.087975025177002
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,21,82,243,1.091928482055664,1.0366688966751099
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,22,83,247,1.0690743923187256,1.0183217525482178
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,22,84,251,1.0493552684783936,1.0000841617584229
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,22,85,255,1.0472626686096191,0.9959074258804321
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,23,86,259,1.02242112159729,0.9749237298965454
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,23,87,264,1.430321216583252,1.366065502166748
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,23,88,269,1.2699304819107056,1.2081232070922852
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,24,89,274,1.3045682907104492,1.2451039552688599
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,24,90,279,1.3640077114105225,1.3024898767471313
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,25,91,284,1.369310975074768,1.3061840534210205
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,25,92,289,1.3325483798980713,1.2714436054229736
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,26,93,294,1.3926221132278442,1.3254677057266235
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,26,94,299,1.336098313331604,1.2741543054580688
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,26,95,304,1.254124402999878,1.1956491470336914
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,27,96,309,1.213356614112854,1.1604455709457397
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,27,97,314,1.1929214000701904,1.1409473419189453
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,28,98,319,1.1674615144729614,1.1201138496398926
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,28,99,324,1.1468992233276367,1.1001023054122925
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,29,100,329,1.084912657737732,1.039501428604126
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,29,101,334,1.1466768980026245,1.0952675342559814
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,29,102,339,1.134617567062378,1.0850293636322021
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,30,103,344,1.162795901298523,1.1133028268814087
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,30,104,349,1.1506706476211548,1.1025352478027344
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,31,105,354,1.1021945476531982,1.0567967891693115
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,31,106,359,1.0489919185638428,1.007642149925232
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,32,107,364,1.0676922798156738,1.0254777669906616
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,32,108,369,1.094681978225708,1.0489914417266846
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,32,109,374,1.0708979368209839,1.02699613571167
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,33,110,379,1.0809857845306396,1.0379568338394165
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,33,111,384,1.0727074146270752,1.0308401584625244
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,34,112,389,1.0739877223968506,1.0299793481826782
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,34,113,394,1.1414884328842163,1.095890998840332
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,35,114,399,1.080606460571289,1.0368529558181763
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,35,115,404,1.0065758228302002,0.9665476083755493
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,35,116,409,1.057815670967102,1.0129410028457642
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,36,117,414,1.0116411447525024,0.9689847230911255
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,36,118,419,1.0642582178115845,1.0151273012161255
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,37,119,424,1.0707790851593018,1.0239802598953247
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,37,120,429,1.1110408306121826,1.0621216297149658
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,38,121,434,1.0459927320480347,1.0002199411392212
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,38,122,439,1.019258737564087,0.9756468534469604
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,38,123,444,1.0013669729232788,0.9620825052261353
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,39,124,450,1.3516336679458618,1.2928577661514282
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,39,125,456,1.358547329902649,1.2982137203216553
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,40,126,461,1.0500390529632568,1.0016388893127441
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,40,127,466,1.0087071657180786,0.9642523527145386
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,41,128,472,1.3468271493911743,1.2908620834350586
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,41,129,478,1.3223886489868164,1.2635900974273682
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,42,130,483,1.0433722734451294,0.9966977834701538
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,42,131,488,1.10675847530365,1.0562771558761597
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,43,132,493,1.132204294204712,1.0826399326324463
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,43,133,498,1.0532422065734863,1.0029802322387695
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,44,134,504,1.3356378078460693,1.276132583618164
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,44,135,510,1.34200918674469,1.2806466817855835
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,45,136,516,1.3322460651397705,1.2715692520141602
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,45,137,521,1.0650174617767334,1.0196059942245483
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,45,138,526,1.0541179180145264,1.0065250396728516
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,46,139,532,1.3095651865005493,1.251144289970398
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,46,140,538,1.186471700668335,1.1313133239746094
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,47,141,544,1.284501314163208,1.2237443923950195
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,47,142,550,1.2507373094558716,1.193909764289856
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,48,143,556,1.3345906734466553,1.2713901996612549
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,48,144,561,1.190042495727539,1.1318880319595337
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,49,145,566,1.1045783758163452,1.052610993385315
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,49,146,571,1.0492502450942993,1.0043880939483643
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,50,147,577,1.1034533977508545,1.0543676614761353
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,50,148,583,1.031705617904663,0.9858611822128296
EMNIST,naive,20,256,1,1.0,2592202,-1,-1,51,149,586,0.290581613779068,0.27741071581840515
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,1,1,11,1.0937402248382568,0.9652504920959473
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,2,2,16,1.1822912693023682,1.032180905342102
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,2,3,20,1.4646841287612915,1.3655345439910889
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,2,4,23,1.6405041217803955,1.366089105606079
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,3,5,26,1.275307297706604,1.2367504835128784
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,3,6,29,1.2244648933410645,1.1657100915908813
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,3,7,32,1.2912178039550781,1.189650297164917
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,3,8,35,1.2186822891235352,1.0845212936401367
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,4,9,38,1.5163167715072632,1.2401601076126099
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,4,10,41,1.3996148109436035,1.1150482892990112
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,4,11,44,1.279592514038086,0.9754223823547363
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,5,12,47,1.1573123931884766,1.0135940313339233
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,5,13,50,1.0027638673782349,0.8496925234794617
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,5,14,54,1.533644437789917,1.1519182920455933
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,5,15,57,1.2238134145736694,0.8366190195083618
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,6,16,60,1.4348595142364502,1.018601417541504
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,6,17,63,1.697615146636963,1.2686775922775269
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,6,18,66,1.866938591003418,1.5007059574127197
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,6,19,69,1.7137240171432495,1.5220088958740234
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,7,20,72,1.6733734607696533,1.5049198865890503
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,7,21,75,1.7769191265106201,1.6205345392227173
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,7,22,78,1.9015235900878906,1.6791499853134155
EMNIST,linear,20,256,1,1.0,2592202,-1,-1,7,23,81,1.8369169235229492,1.6822214126586914
