dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_num_weights,sketch_width,sketch_depth,epoch,round,total_fda_steps,est_var,actual_var
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,1,1,9,0.7032570242881775,0.6162137389183044
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,1,2,13,0.6299286484718323,0.47292789816856384
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,2,3,16,0.8090941309928894,0.526217520236969
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,2,4,18,0.5766689777374268,0.42715442180633545
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,2,5,20,0.6690240502357483,0.5651987791061401
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,2,6,22,0.7080197930335999,0.5876061916351318
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,2,7,24,0.7423206567764282,0.5666511654853821
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,2,8,26,1.0794612169265747,0.5013183355331421
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,2,9,28,1.0200395584106445,0.48850587010383606
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,2,10,30,1.3541902303695679,0.7554983496665955
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,3,11,32,0.813171923160553,0.41846930980682373
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,3,12,34,0.9915426969528198,0.6418551206588745
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,3,13,36,0.9913580417633057,0.5587350130081177
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,3,14,38,0.9387046098709106,0.3701491057872772
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,3,15,40,0.9596388339996338,0.30370503664016724
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,3,16,42,1.2141491174697876,0.31592005491256714
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,3,17,44,1.3847135305404663,0.356741726398468
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,3,18,46,1.225099802017212,0.4625033140182495
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,4,19,48,1.1543160676956177,0.5635392665863037
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,4,20,50,1.0916262865066528,0.5912149548530579
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,4,21,52,1.0526260137557983,0.5431985855102539
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,4,22,54,0.9285910725593567,0.507155179977417
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,4,23,56,0.8081396818161011,0.42157286405563354
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,4,24,58,0.7850459814071655,0.39993199706077576
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,4,25,60,0.8363569974899292,0.4397731125354767
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,4,26,62,0.8909177184104919,0.5033267140388489
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,5,27,64,0.9533283114433289,0.5422752499580383
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,5,28,66,0.9522605538368225,0.5438393950462341
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,5,29,68,0.8927198052406311,0.5272948145866394
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,5,30,70,0.8404057621955872,0.5013450384140015
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,5,31,72,0.8285951614379883,0.49875763058662415
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,5,32,74,0.820154070854187,0.5127092003822327
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,5,33,76,0.8228589296340942,0.5163208842277527
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,5,34,78,0.796088457107544,0.5180309414863586
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,6,35,80,0.778989851474762,0.5030118227005005
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,6,36,82,0.7653257846832275,0.4999092221260071
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,6,37,84,0.7745526432991028,0.5049691200256348
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,6,38,86,0.7771565318107605,0.5070149302482605
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,6,39,88,0.7646929621696472,0.5058841109275818
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,6,40,90,0.7634011507034302,0.507182240486145
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,6,41,92,0.7592573761940002,0.5041462779045105
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,7,42,94,0.7298823595046997,0.4818692207336426
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,7,43,96,0.7066491842269897,0.46145451068878174
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,7,44,98,0.6910660862922668,0.46571916341781616
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,7,45,100,0.685151219367981,0.47204217314720154
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,7,46,102,0.686560869216919,0.49016112089157104
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,7,47,104,0.6745472550392151,0.49716871976852417
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,7,48,106,0.6624731421470642,0.49988847970962524
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,7,49,108,0.6523409485816956,0.49877193570137024
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,8,50,110,0.6357223391532898,0.4947003126144409
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,8,51,112,0.6245455145835876,0.4891371428966522
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,8,52,114,0.6181952953338623,0.49220943450927734
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,8,53,116,0.6177746057510376,0.499282568693161
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,8,54,118,0.6176010370254517,0.5071329474449158
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,8,55,120,0.6143372058868408,0.5069782137870789
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,8,56,122,0.6063207983970642,0.5047635436058044
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,8,57,124,0.5998266935348511,0.5052283406257629
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,9,58,126,0.5942438840866089,0.5084353685379028
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,9,59,128,0.5917031764984131,0.5055822730064392
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,9,60,130,0.5971067547798157,0.5133529305458069
EMNIST,naive,15,256,1,0.5,2592202,-1,-1,9,61,132,0.5801827907562256,0.501780092716217
