dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_num_weights,sketch_width,sketch_depth,epoch,round,total_fda_steps,est_var,actual_var
EMNIST,naive,25,256,1,0.5,2592202,-1,-1,2,1,10,0.5590355396270752,0.5029000043869019
EMNIST,naive,25,256,1,0.5,2592202,-1,-1,2,2,15,0.7187513113021851,0.5407258868217468
EMNIST,naive,25,256,1,0.5,2592202,-1,-1,2,3,18,0.8404502868652344,0.5077785849571228
EMNIST,naive,25,256,1,0.5,2592202,-1,-1,3,4,20,0.696048378944397,0.5346894860267639
EMNIST,naive,25,256,1,0.5,2592202,-1,-1,3,5,22,0.7445398569107056,0.6839357614517212
EMNIST,naive,25,256,1,0.5,2592202,-1,-1,3,6,24,0.8891489505767822,0.7516973614692688
EMNIST,naive,25,256,1,0.5,2592202,-1,-1,3,7,26,0.8678026795387268,0.7532378435134888
EMNIST,naive,25,256,1,0.5,2592202,-1,-1,3,8,28,0.9343457818031311,0.7260608673095703
EMNIST,naive,25,256,1,0.5,2592202,-1,-1,4,9,30,1.4126309156417847,0.661757230758667
EMNIST,naive,25,256,1,0.5,2592202,-1,-1,4,10,31,0.5943140387535095,0.19995036721229553
EMNIST,naive,25,256,1,0.5,2592202,-1,-1,4,11,33,1.2107477188110352,0.6184250712394714
EMNIST,naive,25,256,1,0.5,2592202,-1,-1,4,12,35,1.1268481016159058,0.64122474193573
EMNIST,naive,25,256,1,0.5,2592202,-1,-1,4,13,37,1.2740304470062256,0.38068145513534546
EMNIST,naive,25,256,1,0.5,2592202,-1,-1,5,14,39,1.0234246253967285,0.35496222972869873
EMNIST,naive,25,256,1,0.5,2592202,-1,-1,5,15,41,1.422761082649231,0.31241217255592346
EMNIST,naive,25,256,1,0.5,2592202,-1,-1,5,16,43,1.334162950515747,0.30350878834724426
EMNIST,naive,25,256,1,0.5,2592202,-1,-1,5,17,45,1.5736126899719238,0.3063333332538605
EMNIST,naive,25,256,1,0.5,2592202,-1,-1,6,18,47,1.5837804079055786,0.39271652698516846
EMNIST,naive,25,256,1,0.5,2592202,-1,-1,6,19,49,1.498666524887085,0.4640921354293823
EMNIST,naive,25,256,1,0.5,2592202,-1,-1,6,20,51,1.1879254579544067,0.5816857814788818
EMNIST,naive,25,256,1,0.5,2592202,-1,-1,6,21,53,1.1520227193832397,0.6325384378433228
EMNIST,naive,25,256,1,0.5,2592202,-1,-1,6,22,55,1.132513165473938,0.6642747521400452
