Running program

slurm_localid : 0
Running on node : 0
GPU Setup:
[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
CUDA_VISIBLE_DEVICES: 0

Test procid: 0

------------ Current Test : ------------
FDA name : synchronous
Num Clients : 5
Batch size : 256
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 0.0
-----------------------------------------

EpochMetrics(epoch=63, total_rounds=2954, total_fda_steps=2954, accuracy=0.957099974155426)
EpochMetrics(epoch=64, total_rounds=3000, total_fda_steps=3000, accuracy=0.957099974155426)
EpochMetrics(epoch=65, total_rounds=3047, total_fda_steps=3047, accuracy=0.9569000005722046)
EpochMetrics(epoch=66, total_rounds=3094, total_fda_steps=3094, accuracy=0.9574999809265137)
EpochMetrics(epoch=67, total_rounds=3141, total_fda_steps=3141, accuracy=0.9574000239372253)
EpochMetrics(epoch=68, total_rounds=3188, total_fda_steps=3188, accuracy=0.9571999907493591)
EpochMetrics(epoch=69, total_rounds=3235, total_fda_steps=3235, accuracy=0.9574000239372253)
EpochMetrics(epoch=70, total_rounds=3282, total_fda_steps=3282, accuracy=0.9575999975204468)
EpochMetrics(epoch=71, total_rounds=3329, total_fda_steps=3329, accuracy=0.9577000141143799)
EpochMetrics(epoch=72, total_rounds=3375, total_fda_steps=3375, accuracy=0.9575999975204468)
EpochMetrics(epoch=73, total_rounds=3422, total_fda_steps=3422, accuracy=0.9577999711036682)
EpochMetrics(epoch=74, total_rounds=3469, total_fda_steps=3469, accuracy=0.9575999975204468)
EpochMetrics(epoch=75, total_rounds=3516, total_fda_steps=3516, accuracy=0.9577000141143799)
EpochMetrics(epoch=76, total_rounds=3563, total_fda_steps=3563, accuracy=0.9577000141143799)
EpochMetrics(epoch=77, total_rounds=3610, total_fda_steps=3610, accuracy=0.9578999876976013)
EpochMetrics(epoch=78, total_rounds=3657, total_fda_steps=3657, accuracy=0.9578999876976013)
EpochMetrics(epoch=79, total_rounds=3704, total_fda_steps=3704, accuracy=0.9578999876976013)
EpochMetrics(epoch=80, total_rounds=3750, total_fda_steps=3750, accuracy=0.958299994468689)
EpochMetrics(epoch=81, total_rounds=3797, total_fda_steps=3797, accuracy=0.9578999876976013)
EpochMetrics(epoch=82, total_rounds=3844, total_fda_steps=3844, accuracy=0.9581000208854675)
EpochMetrics(epoch=83, total_rounds=3891, total_fda_steps=3891, accuracy=0.958299994468689)
EpochMetrics(epoch=84, total_rounds=3938, total_fda_steps=3938, accuracy=0.9578999876976013)
EpochMetrics(epoch=85, total_rounds=3985, total_fda_steps=3985, accuracy=0.9584000110626221)
slurm_localid : 1
Running on node : 0
GPU Setup:
[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
CUDA_VISIBLE_DEVICES: 1

Test procid: 1

------------ Current Test : ------------
FDA name : synchronous
Num Clients : 10
Batch size : 256
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 0.0
-----------------------------------------

EpochMetrics(epoch=1, total_rounds=24, total_fda_steps=24, accuracy=0.5486999750137329)
EpochMetrics(epoch=2, total_rounds=47, total_fda_steps=47, accuracy=0.7567999958992004)
EpochMetrics(epoch=3, total_rounds=71, total_fda_steps=71, accuracy=0.8309000134468079)
EpochMetrics(epoch=4, total_rounds=94, total_fda_steps=94, accuracy=0.8636999726295471)
EpochMetrics(epoch=5, total_rounds=118, total_fda_steps=118, accuracy=0.8863000273704529)
EpochMetrics(epoch=6, total_rounds=141, total_fda_steps=141, accuracy=0.8996999859809875)
EpochMetrics(epoch=7, total_rounds=165, total_fda_steps=165, accuracy=0.9093999862670898)
EpochMetrics(epoch=8, total_rounds=188, total_fda_steps=188, accuracy=0.9175000190734863)
EpochMetrics(epoch=9, total_rounds=211, total_fda_steps=211, accuracy=0.9257000088691711)
EpochMetrics(epoch=10, total_rounds=235, total_fda_steps=235, accuracy=0.9311000108718872)
EpochMetrics(epoch=11, total_rounds=258, total_fda_steps=258, accuracy=0.9358999729156494)
EpochMetrics(epoch=12, total_rounds=282, total_fda_steps=282, accuracy=0.9398000240325928)
EpochMetrics(epoch=13, total_rounds=305, total_fda_steps=305, accuracy=0.9431999921798706)
EpochMetrics(epoch=14, total_rounds=329, total_fda_steps=329, accuracy=0.9453999996185303)
EpochMetrics(epoch=15, total_rounds=352, total_fda_steps=352, accuracy=0.9484999775886536)
EpochMetrics(epoch=16, total_rounds=375, total_fda_steps=375, accuracy=0.9510999917984009)
EpochMetrics(epoch=17, total_rounds=399, total_fda_steps=399, accuracy=0.9527999758720398)
EpochMetrics(epoch=18, total_rounds=422, total_fda_steps=422, accuracy=0.9532999992370605)
EpochMetrics(epoch=19, total_rounds=446, total_fda_steps=446, accuracy=0.9557999968528748)
EpochMetrics(epoch=20, total_rounds=469, total_fda_steps=469, accuracy=0.9573000073432922)
EpochMetrics(epoch=21, total_rounds=493, total_fda_steps=493, accuracy=0.9580000042915344)
EpochMetrics(epoch=22, total_rounds=516, total_fda_steps=516, accuracy=0.9581999778747559)
EpochMetrics(epoch=23, total_rounds=540, total_fda_steps=540, accuracy=0.958299994468689)
EpochMetrics(epoch=24, total_rounds=563, total_fda_steps=563, accuracy=0.9595999717712402)
EpochMetrics(epoch=25, total_rounds=586, total_fda_steps=586, accuracy=0.9595000147819519)
EpochMetrics(epoch=26, total_rounds=610, total_fda_steps=610, accuracy=0.9588000178337097)
EpochMetrics(epoch=27, total_rounds=633, total_fda_steps=633, accuracy=0.9595999717712402)
EpochMetrics(epoch=28, total_rounds=657, total_fda_steps=657, accuracy=0.9589999914169312)
EpochMetrics(epoch=29, total_rounds=680, total_fda_steps=680, accuracy=0.9599999785423279)
EpochMetrics(epoch=30, total_rounds=704, total_fda_steps=704, accuracy=0.9602000117301941)
EpochMetrics(epoch=31, total_rounds=727, total_fda_steps=727, accuracy=0.9606999754905701)
EpochMetrics(epoch=32, total_rounds=750, total_fda_steps=750, accuracy=0.9613000154495239)
EpochMetrics(epoch=33, total_rounds=774, total_fda_steps=774, accuracy=0.9616000056266785)
EpochMetrics(epoch=34, total_rounds=797, total_fda_steps=797, accuracy=0.9616000056266785)
EpochMetrics(epoch=35, total_rounds=821, total_fda_steps=821, accuracy=0.9620000123977661)
EpochMetrics(epoch=36, total_rounds=844, total_fda_steps=844, accuracy=0.9617999792098999)
EpochMetrics(epoch=37, total_rounds=868, total_fda_steps=868, accuracy=0.961899995803833)
EpochMetrics(epoch=38, total_rounds=891, total_fda_steps=891, accuracy=0.9620000123977661)
EpochMetrics(epoch=39, total_rounds=915, total_fda_steps=915, accuracy=0.9620000123977661)
EpochMetrics(epoch=40, total_rounds=938, total_fda_steps=938, accuracy=0.9625999927520752)
EpochMetrics(epoch=41, total_rounds=961, total_fda_steps=961, accuracy=0.9628000259399414)
EpochMetrics(epoch=42, total_rounds=985, total_fda_steps=985, accuracy=0.9628000259399414)
EpochMetrics(epoch=43, total_rounds=1008, total_fda_steps=1008, accuracy=0.9624000191688538)
EpochMetrics(epoch=44, total_rounds=1032, total_fda_steps=1032, accuracy=0.9628999829292297)
EpochMetrics(epoch=45, total_rounds=1055, total_fda_steps=1055, accuracy=0.9625999927520752)
EpochMetrics(epoch=46, total_rounds=1079, total_fda_steps=1079, accuracy=0.9635000228881836)
EpochMetrics(epoch=47, total_rounds=1102, total_fda_steps=1102, accuracy=0.9639000296592712)
EpochMetrics(epoch=48, total_rounds=1125, total_fda_steps=1125, accuracy=0.9638000130653381)
EpochMetrics(epoch=49, total_rounds=1149, total_fda_steps=1149, accuracy=0.9638000130653381)
EpochMetrics(epoch=50, total_rounds=1172, total_fda_steps=1172, accuracy=0.9639999866485596)
