Running program
Environment

slurm_localid : 0
Running on node : 0
GPU Setup:
[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
CUDA_VISIBLE_DEVICES: 0

Test procid: 0

------------ Current Test : ------------
FDA name : synchronous
Num Clients : 5
Batch size : 32
Num Epochs : 250
Number of steps until we check RTC : 1
Theta : 0.0
-----------------------------------------

EpochMetrics(epoch=62, total_rounds=23250, total_fda_steps=23250, accuracy=0.9769999980926514)
EpochMetrics(epoch=63, total_rounds=23625, total_fda_steps=23625, accuracy=0.979200005531311)
EpochMetrics(epoch=64, total_rounds=24000, total_fda_steps=24000, accuracy=0.974399983882904)
EpochMetrics(epoch=65, total_rounds=24375, total_fda_steps=24375, accuracy=0.9775999784469604)
EpochMetrics(epoch=66, total_rounds=24750, total_fda_steps=24750, accuracy=0.9771000146865845)
EpochMetrics(epoch=67, total_rounds=25125, total_fda_steps=25125, accuracy=0.977400004863739)
EpochMetrics(epoch=68, total_rounds=25500, total_fda_steps=25500, accuracy=0.9771000146865845)
EpochMetrics(epoch=69, total_rounds=25875, total_fda_steps=25875, accuracy=0.9775999784469604)
EpochMetrics(epoch=70, total_rounds=26250, total_fda_steps=26250, accuracy=0.9790999889373779)
EpochMetrics(epoch=71, total_rounds=26625, total_fda_steps=26625, accuracy=0.9790999889373779)
EpochMetrics(epoch=72, total_rounds=27000, total_fda_steps=27000, accuracy=0.979200005531311)
EpochMetrics(epoch=73, total_rounds=27375, total_fda_steps=27375, accuracy=0.9800999760627747)
EpochMetrics(epoch=74, total_rounds=27750, total_fda_steps=27750, accuracy=0.9801999926567078)
EpochMetrics(epoch=75, total_rounds=28125, total_fda_steps=28125, accuracy=0.9799000024795532)
EpochMetrics(epoch=76, total_rounds=28500, total_fda_steps=28500, accuracy=0.9797999858856201)
EpochMetrics(epoch=77, total_rounds=28875, total_fda_steps=28875, accuracy=0.9763000011444092)
EpochMetrics(epoch=78, total_rounds=29250, total_fda_steps=29250, accuracy=0.9753999710083008)
EpochMetrics(epoch=79, total_rounds=29625, total_fda_steps=29625, accuracy=0.9760000109672546)
EpochMetrics(epoch=80, total_rounds=30000, total_fda_steps=30000, accuracy=0.9688000082969666)
EpochMetrics(epoch=81, total_rounds=30375, total_fda_steps=30375, accuracy=0.9775999784469604)
EpochMetrics(epoch=82, total_rounds=30750, total_fda_steps=30750, accuracy=0.977400004863739)
EpochMetrics(epoch=83, total_rounds=31125, total_fda_steps=31125, accuracy=0.9789000153541565)
EpochMetrics(epoch=84, total_rounds=31500, total_fda_steps=31500, accuracy=0.9800000190734863)
slurm_localid : 1
Running on node : 0
GPU Setup:
[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
CUDA_VISIBLE_DEVICES: 1

Test procid: 1

------------ Current Test : ------------
FDA name : synchronous
Num Clients : 10
Batch size : 32
Num Epochs : 250
Number of steps until we check RTC : 1
Theta : 0.0
-----------------------------------------

EpochMetrics(epoch=1, total_rounds=188, total_fda_steps=188, accuracy=0.8895000219345093)
EpochMetrics(epoch=2, total_rounds=375, total_fda_steps=375, accuracy=0.9645000100135803)
EpochMetrics(epoch=3, total_rounds=563, total_fda_steps=563, accuracy=0.9717000126838684)
EpochMetrics(epoch=4, total_rounds=750, total_fda_steps=750, accuracy=0.9735000133514404)
EpochMetrics(epoch=5, total_rounds=938, total_fda_steps=938, accuracy=0.9735000133514404)
EpochMetrics(epoch=6, total_rounds=1125, total_fda_steps=1125, accuracy=0.9745000004768372)
EpochMetrics(epoch=7, total_rounds=1313, total_fda_steps=1313, accuracy=0.9782000184059143)
EpochMetrics(epoch=8, total_rounds=1500, total_fda_steps=1500, accuracy=0.9764999747276306)
EpochMetrics(epoch=9, total_rounds=1688, total_fda_steps=1688, accuracy=0.9745000004768372)
EpochMetrics(epoch=10, total_rounds=1875, total_fda_steps=1875, accuracy=0.9761000275611877)
