dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
EMNIST,linear,20,32,1,0.5,2592202,-1,-1,1,38,94,0.48030000925064087
EMNIST,linear,20,32,1,0.5,2592202,-1,-1,2,85,188,0.8658000230789185
EMNIST,linear,20,32,1,0.5,2592202,-1,-1,3,119,282,0.9472000002861023
EMNIST,linear,20,32,1,0.5,2592202,-1,-1,4,149,375,0.9635999798774719
EMNIST,linear,20,32,1,0.5,2592202,-1,-1,5,176,469,0.9704999923706055
EMNIST,linear,20,32,1,0.5,2592202,-1,-1,6,200,563,0.9735999703407288
EMNIST,linear,20,32,1,0.5,2592202,-1,-1,7,224,657,0.9750999808311462
EMNIST,linear,20,32,1,0.5,2592202,-1,-1,8,247,750,0.9772999882698059
EMNIST,linear,20,32,1,0.5,2592202,-1,-1,9,271,844,0.9789000153541565
EMNIST,linear,20,32,1,0.5,2592202,-1,-1,10,294,938,0.9797999858856201
EMNIST,linear,20,32,1,0.5,2592202,-1,-1,11,317,1032,0.9799000024795532
EMNIST,linear,20,32,1,0.5,2592202,-1,-1,12,338,1125,0.9794999957084656
EMNIST,linear,20,32,1,0.5,2592202,-1,-1,13,357,1219,0.9800000190734863
EMNIST,linear,20,32,1,0.5,2592202,-1,-1,14,377,1313,0.9811000227928162
EMNIST,linear,20,32,1,0.5,2592202,-1,-1,15,397,1407,0.9818000197410583
EMNIST,linear,20,32,1,0.5,2592202,-1,-1,16,417,1500,0.9815000295639038
EMNIST,linear,20,32,1,0.5,2592202,-1,-1,17,438,1594,0.9800999760627747
EMNIST,linear,20,32,1,0.5,2592202,-1,-1,18,456,1688,0.9807999730110168
EMNIST,linear,20,32,1,0.5,2592202,-1,-1,19,474,1782,0.9821000099182129
EMNIST,linear,20,32,1,0.5,2592202,-1,-1,20,492,1875,0.9824000000953674
EMNIST,linear,20,32,1,0.5,2592202,-1,-1,21,511,1969,0.9818000197410583
