dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_num_weights,sketch_width,sketch_depth,epoch,round,total_fda_steps,est_var,actual_var
EMNIST,naive,25,256,1,0.5,61706,-1,-1,1,1,6,0.5304878354072571,0.0935564637184143
EMNIST,naive,25,256,1,0.5,61706,-1,-1,2,2,11,0.7482349276542664,0.1103578507900238
EMNIST,naive,25,256,1,0.5,61706,-1,-1,2,3,15,0.633431613445282,0.07805214077234268
EMNIST,naive,25,256,1,0.5,61706,-1,-1,3,4,19,0.7170497179031372,0.07343609631061554
EMNIST,naive,25,256,1,0.5,61706,-1,-1,3,5,23,0.8093031048774719,0.053372371941804886
EMNIST,naive,25,256,1,0.5,61706,-1,-1,3,6,26,0.503472089767456,0.029385056346654892
EMNIST,naive,25,256,1,0.5,61706,-1,-1,4,7,30,0.8061589598655701,0.04637710005044937
EMNIST,naive,25,256,1,0.5,61706,-1,-1,4,8,34,0.6887585520744324,0.04890412464737892
EMNIST,naive,25,256,1,0.5,61706,-1,-1,5,9,38,0.6326956152915955,0.05248316749930382
EMNIST,naive,25,256,1,0.5,61706,-1,-1,5,10,42,0.5587877631187439,0.060490865260362625
EMNIST,naive,25,256,1,0.5,61706,-1,-1,6,11,47,0.7005677819252014,0.10711653530597687
EMNIST,naive,25,256,1,0.5,61706,-1,-1,6,12,52,0.5702633857727051,0.12000884115695953
EMNIST,naive,25,256,1,0.5,61706,-1,-1,7,13,57,0.532333493232727,0.12965010106563568
EMNIST,naive,25,256,1,0.5,61706,-1,-1,7,14,63,0.6942188739776611,0.19251279532909393
EMNIST,naive,25,256,1,0.5,61706,-1,-1,8,15,69,0.6167165637016296,0.20512674748897552
EMNIST,naive,25,256,1,0.5,61706,-1,-1,9,16,75,0.5668520927429199,0.22804513573646545
EMNIST,naive,25,256,1,0.5,61706,-1,-1,9,17,81,0.5385900735855103,0.25574687123298645
EMNIST,naive,25,256,1,0.5,61706,-1,-1,10,18,87,0.5018901228904724,0.2653529942035675
EMNIST,naive,25,256,1,0.5,61706,-1,-1,11,19,94,0.6368382573127747,0.3630235195159912
EMNIST,naive,25,256,1,0.5,61706,-1,-1,11,20,101,0.6124844551086426,0.37690070271492004
EMNIST,naive,25,256,1,0.5,61706,-1,-1,12,21,108,0.5841448903083801,0.38058242201805115
EMNIST,naive,25,256,1,0.5,61706,-1,-1,13,22,115,0.5691848993301392,0.387583464384079
EMNIST,naive,25,256,1,0.5,61706,-1,-1,14,23,122,0.5653874278068542,0.4005737006664276
EMNIST,naive,25,256,1,0.5,61706,-1,-1,14,24,129,0.5545641183853149,0.40496039390563965
EMNIST,naive,25,256,1,0.5,61706,-1,-1,15,25,136,0.5492021441459656,0.41222649812698364
EMNIST,naive,25,256,1,0.5,61706,-1,-1,16,26,143,0.5409048795700073,0.4161345362663269
EMNIST,naive,25,256,1,0.5,61706,-1,-1,17,27,150,0.533047616481781,0.42055049538612366
EMNIST,naive,25,256,1,0.5,61706,-1,-1,17,28,157,0.529507040977478,0.4252302646636963
EMNIST,naive,25,256,1,0.5,61706,-1,-1,18,29,164,0.5230569243431091,0.42839986085891724
EMNIST,naive,25,256,1,0.5,61706,-1,-1,19,30,171,0.5263651013374329,0.437815397977829
EMNIST,naive,25,256,1,0.5,61706,-1,-1,19,31,178,0.5174445509910583,0.43501606583595276
EMNIST,naive,25,256,1,0.5,61706,-1,-1,20,32,185,0.5166557431221008,0.4398837983608246
EMNIST,naive,25,256,1,0.5,61706,-1,-1,21,33,192,0.5146466493606567,0.44336238503456116
EMNIST,naive,25,256,1,0.5,61706,-1,-1,22,34,199,0.505226194858551,0.4394264221191406
EMNIST,naive,25,256,1,0.5,61706,-1,-1,22,35,206,0.5036894083023071,0.44351547956466675
EMNIST,naive,25,256,1,0.5,61706,-1,-1,23,36,214,0.6166283488273621,0.5451360940933228
EMNIST,naive,25,256,1,0.5,61706,-1,-1,24,37,222,0.6047632694244385,0.5368791818618774
EMNIST,naive,25,256,1,0.5,61706,-1,-1,25,38,230,0.5917786955833435,0.5297200679779053
EMNIST,naive,25,256,1,0.5,61706,-1,-1,26,39,238,0.6019814014434814,0.543316125869751
EMNIST,naive,25,256,1,0.5,61706,-1,-1,27,40,246,0.5998910069465637,0.5442886352539062
EMNIST,naive,25,256,1,0.5,61706,-1,-1,28,41,254,0.5876718759536743,0.535761833190918
EMNIST,naive,25,256,1,0.5,61706,-1,-1,28,42,262,0.5716155767440796,0.5230901837348938
EMNIST,naive,25,256,1,0.5,61706,-1,-1,29,43,270,0.5716547966003418,0.5255453586578369
EMNIST,naive,25,256,1,0.5,61706,-1,-1,30,44,278,0.5728707313537598,0.5303928852081299
EMNIST,naive,25,256,1,0.5,61706,-1,-1,31,45,286,0.5785880088806152,0.5381710529327393
